# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.37
4                       0.78
8                       1.52
16                      3.38
32                      6.41
64                     11.94
128                    22.47
256                    39.35
512                    75.61
1024                  142.69
2048                  267.08
4096                  449.94
8192                  656.54
16384                 879.78
32768                 952.36
65536                1003.82
131072               1442.00
262144               1475.80
524288               1416.40
1048576              1424.10
2097152              1424.90
4194304              1431.04
