Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                    4022.08
2                    4008.08
4                    4018.13
8                    4007.18
16                   4008.03
32                   4009.93
64                   4008.78
128                  5518.38
256                  4985.38
512                  4005.33
1024                 4006.78
2048                 4330.73
4096                 5335.28
8192                 4944.73
16384                4007.48
32768                4007.98
65536               12010.47
131072              12016.96
262144              12034.96
524288              12062.97
1048576             12180.55
2097152             13607.63
4194304             13339.86
