[1721029503.735991389] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029503.762964940] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029503.790080825] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029503.794443956] thin003.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029503.821423160] thin003.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029503.847479938] thin003.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       9.66
2                      19.00
4                      38.11
8                      73.14
16                    156.34
32                    299.95
64                    446.09
128                   653.88
256                  1154.18
512                  2201.43
1024                 3698.18
2048                 6207.21
4096                 3916.81
8192                 7053.77
16384               10360.57
32768               15281.93
65536               19906.89
131072              23990.15
262144              26024.16
524288              25228.11
1048576             22063.29
2097152             18658.73
4194304             15734.60

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      11.20
2                      20.74
4                      40.50
8                      73.71
16                    149.81
32                    382.69
64                    468.75
128                   659.97
256                  1175.25
512                  2185.12
1024                 3716.18
2048                 6263.78
4096                 3873.27
8192                 6696.38
16384                9917.53
32768               14825.68
65536               19159.11
131072              23052.72
262144              25778.54
524288              25477.53
1048576             21636.34
2097152             18794.49
4194304             15978.09
[1721029509.868697006] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029509.896663038] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029509.923692072] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029509.928560014] thin003.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029509.955477368] thin003.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029509.981568107] thin003.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       9.55
2                      19.38
4                      36.73
8                      75.25
16                    155.48
32                    286.26
64                    463.32
128                   635.64
