[1721029416.542734754] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.570168532] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.597257347] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.601591350] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.628423194] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029416.654820335] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.68
2                      17.50
4                      35.34
8                      67.66
16                    135.61
32                    275.86
64                    442.39
128                   585.59
256                   944.77
512                  2011.54
1024                 3336.10
2048                 5630.08
4096                 2524.08
8192                 4544.29
16384                6467.19
32768                8860.13
65536               11035.32
131072              12555.38
262144              13981.80
524288              12978.66
1048576             11490.88
2097152              9465.67
4194304              9449.90

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.94
2                      18.06
4                      35.77
8                      71.94
16                    140.95
32                    285.35
64                    442.41
128                   592.33
256                  1004.48
512                  2082.52
1024                 3423.16
2048                 5779.21
4096                 2590.87
8192                 4597.45
16384                6339.75
32768                8822.03
65536               10922.31
131072              12412.18
262144              13701.21
524288              13033.56
1048576             11495.80
2097152              9553.35
4194304              9507.15

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.21
2                      17.69
4                      35.44
8                      70.80
16                    139.68
32                    277.78
64                    450.12
128                   591.61
256                   990.97
512                  2045.86
1024                 3499.43
2048                 5836.44
4096                 2582.55
8192                 4552.97
16384                6316.17
32768                8852.17
65536               10820.70
131072              12295.67
262144              13494.29
524288              13203.43
1048576             11545.08
2097152              9542.46
4194304              9395.59
[1721029425.255393600] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029425.282561288] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029425.309118942] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029425.314652359] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029425.341587297] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029425.367712809] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.66
2                      17.30
4                      34.87
8                      64.00
16                    134.21
32                    275.51
64                    439.73
128                   588.07
256                   991.10
512                  1973.19
1024                 3470.56
2048                 5755.97
4096                 2567.70
8192                 4517.05
16384                6438.81
32768                8856.86
65536               10807.47
131072              12399.09
262144              13753.93
524288              12955.24
1048576             10895.34
2097152              9458.37
4194304              9423.09

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.66
2                      17.63
4                      35.32
8                      70.35
16                    133.33
32                    265.30
64                    427.61
128                   554.79
256                   950.94
512                  2084.34
1024                 3478.17
2048                 5793.56
4096                 2566.92
8192                 4512.07
16384                6448.49
32768                8793.69
65536               10910.41
131072              12397.49
262144              13647.53
524288              13185.68
1048576             11481.56
2097152              9556.37
4194304              9527.90
[1721029431.091157398] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029431.118393151] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029431.145104711] thin003.hpc.rd.areasciencepark.it:rank0.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029431.145870254] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029431.172982347] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029431.199308640] thin003.hpc.rd.areasciencepark.it:rank1.osu_bw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.73
2                      17.43
4                      34.97
8                      70.08
16                    129.65
32                    269.72
64                    439.46
128                   574.26
256                   979.65
512                  2028.04
1024                 3410.15
2048                 5743.12
4096                 2575.97
8192                 4543.37
16384                6400.51
32768                8752.34
65536               10780.51
131072              12478.16
262144              13575.54
524288              12680.77
1048576             11315.82
2097152              9468.64
4194304              9436.72

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       8.84
2                      17.99
4                      36.02
8                      71.63
16                    140.48
32                    280.80
64                    445.93
128                   540.47
256                   972.64
512                  2030.94
1024                 3497.88
2048                 5679.19
4096                 2570.57
8192                 4602.18
16384                6491.69
32768                9014.05
65536               11162.91
131072              12649.94
262144              13751.12
524288              13193.35
1048576             11527.15
2097152              9525.56
4194304              9480.38

