
# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.39
2                       0.39
4                       0.38
8                       0.38
16                      0.40
32                      0.40
64                      0.42
128                     0.47
256                     0.54
512                     0.70
1024                    0.80
2048                    0.86
4096                    2.14
8192                    2.45
16384                   3.18
32768                   4.34
65536                   6.60
131072                 11.25
262144                 20.41
524288                 41.02
1048576                95.85
2097152               224.33
4194304               506.58

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.38
2                       0.38
4                       0.38
8                       0.38
16                      0.40
32                      0.40
64                      0.42
128                     0.48
256                     0.52
512                     0.71
1024                    0.82
2048                    0.89
4096                    2.13
8192                    2.39
16384                   3.14
32768                   4.26
65536                   6.61
131072                 11.27
262144                 20.32
524288                 41.10
1048576                92.94
2097152               226.00
4194304               507.20

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.40
2                       0.40
4                       0.40
8                       0.40
16                      0.41
32                      0.41
64                      0.43
128                     0.50
256                     0.57
512                     0.71
1024                    0.79
2048                    0.87
4096                    2.15
8192                    2.43
16384                   3.14
32768                   4.26
65536                   6.54
131072                 11.24
262144                 20.40
524288                 40.90
1048576                93.97
2097152               225.91
4194304               522.86
[1721029080.393411352] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029080.420751660] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029080.447799574] thin003.hpc.rd.areasciencepark.it:rank0.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029080.448052509] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029080.475237712] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721029080.501849500] thin003.hpc.rd.areasciencepark.it:rank1.osu_latency: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.48
8                       0.48
16                      0.51
32                      0.51
64                      0.53
128                     0.58
256                     0.65
512                     0.80
1024                    0.88
2048                    0.99
4096                    2.21
8192                    2.47
16384                   3.16
32768                   4.23
65536                   6.46
131072                 11.03
262144                 20.28
524288                 41.23
1048576                94.91
2097152               227.08
4194304               518.43

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.38
2                       0.38
4                       0.38
8                       0.38
16                      0.39
32                      0.39
64                      0.41
128                     0.44
256                     0.51
512                     0.67
