[1721028221.078563908] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.092317463] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.105144729] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.119271907] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.130963809] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028221.145411541] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.83
2                       1.64
4                       3.30
8                       6.65
16                     13.22
32                     26.52
64                     50.60
128                    96.79
256                   184.81
512                   352.03
1024                  659.11
2048                 1134.82
4096                 1888.16
8192                 2535.17
16384                2445.18
32768                3061.19
65536                1658.12
131072               2199.04
262144               1992.57
524288               2094.45
1048576              2599.42
2097152              2613.54
4194304              2961.59
[1721028231.878237251] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028231.878953551] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028231.904685632] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028231.905920192] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028231.930752971] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028231.932503582] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.77
2                       1.53
4                       3.10
8                       6.22
16                     12.29
32                     24.19
64                     48.08
128                    92.18
256                   174.21
512                   330.79
1024                  636.47
2048                 1138.66
4096                 1916.63
8192                 2669.32
16384                2782.86
32768                2913.14
65536                2141.42
131072               2217.85
262144               2392.17
524288               2554.05
1048576              3018.13
2097152              3268.16
4194304              3368.42

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.87
2                       1.74
4                       3.37
8                       6.62
16                     13.16
32                     26.13
64                     51.41
128                    97.18
256                   184.41
512                   348.65
1024                  648.79
2048                 1165.85
4096                 1837.51
8192                 2596.67
16384                2768.42
32768                2985.90
65536                1687.59
131072               2181.14
262144               2260.02
524288               2675.96
1048576              3000.22
2097152              2583.29
4194304              3000.35

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.83
2                       1.65
4                       3.30
8                       6.72
16                     13.26
32                     25.95
64                     51.09
128                    97.80
256                   184.58
512                   354.14
1024                  649.86
2048                 1157.88
4096                 1837.83
8192                 2658.37
16384                3007.28
32768                2926.13
65536                1673.46
131072               1930.10
262144               2009.26
524288               2161.35
1048576              2658.28
2097152              3002.38
4194304              3074.00

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.83
2                       1.67
4                       3.36
8                       6.61
16                     13.24
32                     26.31
64                     50.68
128                    98.50
256                   182.84
512                   380.37
1024                  717.50
2048                 1283.82
4096                 1914.52
8192                 2671.40
16384                2585.75
32768                2751.12
65536                1614.04
131072               2118.67
262144               2108.08
524288               2191.90
1048576              2442.82
2097152              2535.13
4194304              2752.79

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.73
4                       3.17
8                       6.71
16                     13.45
32                     26.29
64                     50.49
128                    97.19
256                   185.31
512                   348.66
1024                  663.07
2048                 1163.41
4096                 1845.11
8192                 2645.53
16384                2594.79
32768                2671.12
65536                1826.08
131072               2102.32
262144               2185.54
524288               2795.41
1048576              3138.59
2097152              3121.95
4194304              3153.33
[1721028282.963832012] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028282.970072068] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028282.990226323] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028282.996837766] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028283.016067135] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028283.022898993] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.83
2                       1.64
4                       3.32
8                       6.62
16                     13.27
32                     26.13
64                     51.13
128                    97.73
256                   186.35
512                   350.12
1024                  661.55
2048                 1162.18
4096                 1882.10
8192                 2561.29
16384                2508.27
32768                3002.09
65536                1537.87
131072               2039.28
262144               2052.40
524288               2218.85
1048576              2471.04
2097152              2550.08
4194304              2838.40
[1721028293.883394096] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028293.893670830] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028293.909963617] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028293.920585576] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028293.935807958] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028293.946657788] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.82
2                       1.65
4                       3.33
8                       6.64
16                     13.31
32                     26.10
64                     49.44
128                    99.40
256                   185.88
512                   355.42
1024                  658.78
2048                 1165.37
4096                 1906.15
8192                 2543.11
16384                2500.94
32768                2507.93
65536                1621.43
131072               2037.28
262144               2045.62
524288               2493.00
1048576              2682.03
2097152              2878.97
4194304              3093.55
[1721028304.161181974] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028304.174959913] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028304.188141991] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028304.201948364] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028304.214189714] thin004.hpc.rd.areasciencepark.it:rank1.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted
[1721028304.228411231] thin003.hpc.rd.areasciencepark.it:rank0.osu_bibw: Failed to modify UD QP to INIT on mlx5_0: Operation not permitted

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.81
2                       1.67
4                       3.27
8                       6.51
16                     13.29
32                     26.27
64                     50.91
128                    98.25
256                   187.10
512                   354.40
1024                  652.16
2048                 1150.32
4096                 1852.50
