# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.33         331772.77
2                       0.64         318333.33
4                       1.38         344152.95
8                       2.82         352504.86
16                      6.02         375949.37
32                     11.89         371410.82
64                     19.91         311055.02
128                    40.39         315557.88
256                    83.32         325487.44
512                   161.67         315767.70
1024                  304.11         296985.33
2048                  564.96         275857.69
4096                  987.06         240980.73
8192                 1415.67         172810.80
16384                2206.45         134671.20
32768                2555.68          77993.02
65536                1563.38          23855.28
131072               2537.07          19356.30
262144               3642.80          13896.18
524288               3815.85           7278.15
1048576              4518.83           4309.49
2097152              3811.26           1817.35
4194304              3851.39            918.24
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.38         379292.75
2                       0.76         380863.56
4                       1.51         377654.18
8                       2.77         346533.24
16                      5.45         340752.47
32                     10.24         319986.34
64                     19.63         306659.41
128                    39.39         307726.44
256                    82.41         321925.60
512                   157.07         306772.73
1024                  300.82         293771.93
2048                  565.55         276147.21
4096                  967.34         236167.49
8192                 1418.82         173196.39
16384                1741.45         106289.86
32768                1934.07          59023.24
65536                1723.76          26302.48
131072               2281.00          17402.66
262144               3008.49          11476.49
524288               3946.21           7526.80
1048576              4559.57           4348.34
2097152              3700.41           1764.49
4194304              3875.36            923.96
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.39         387026.34
2                       0.76         378198.67
4                       1.60         400619.66
8                       3.14         392381.64
16                      6.15         384393.62
32                     10.61         331709.99
64                     21.69         338872.65
128                    46.03         359605.39
256                    90.44         353283.59
512                   164.95         322164.15
1024                  320.54         313027.53
2048                  609.63         297671.19
4096                 1022.09         249534.43
8192                 1472.72         179775.91
16384                1745.33         106526.35
32768                1939.33          59183.76
65536                1831.65          27948.83
131072               2515.69          19193.21
262144               3234.23          12337.61
524288               4013.47           7655.08
1048576              4478.73           4271.25
2097152              3987.01           1901.15
4194304              4090.04            975.14
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.36         358650.47
2                       0.71         354655.60
4                       1.40         350026.98
8                       2.80         350421.15
16                      5.70         356550.47
32                     11.71         365901.40
64                     21.39         334215.56
128                    42.56         332511.20
256                    81.35         317761.80
512                   159.07         310679.78
1024                  305.10         297950.38
2048                  562.90         274852.20
4096                  977.15         238561.15
8192                 1438.78         175632.24
16384                1737.00         106018.07
32768                1930.43          58911.99
65536                2185.81          33352.76
131072               2375.27          18121.90
262144               2660.93          10150.65
524288               2808.91           5357.57
1048576              2904.84           2770.27
2097152              3310.22           1578.44
4194304              3272.84            780.31
