Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.88
16                      1.75
32                      3.47
64                      7.06
128                    13.84
256                    28.62
512                    52.57
1024                  101.13
2048                  131.54
4096                  295.92
8192                  710.47
16384                1157.71
32768                1763.52
65536                1202.13
131072               1710.53
262144               1892.50
524288               2155.21
1048576              2266.59
2097152              2405.01
4194304              2395.01
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.20
4                       0.43
8                       0.87
16                      1.74
32                      3.47
64                      6.93
128                    13.66
256                    27.59
512                    56.68
1024                  102.13
2048                  130.37
4096                  293.33
8192                  715.68
16384                1038.66
32768                1785.16
65536                1185.89
131072               1666.03
262144               1910.30
524288               2171.88
1048576              2284.35
2097152              2401.47
4194304              2409.15
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.87
16                      1.73
32                      3.51
64                      6.94
128                    13.92
256                    28.51
512                    56.58
1024                  103.67
2048                  129.01
4096                  396.85
8192                  714.09
16384                1162.16
32768                1570.89
65536                1181.66
131072               1675.71
262144               1947.82
524288               2162.12
1048576              2280.34
2097152              2401.52
4194304              2390.03
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.89
16                      1.76
32                      3.50
64                      7.03
128                    13.95
256                    28.44
512                    56.51
1024                  101.32
2048                  131.69
4096                  396.15
8192                  701.59
16384                1161.02
32768                1768.83
65536                1197.46
131072               1706.04
262144               1933.29
524288               2162.92
1048576              2275.22
2097152              2392.81
4194304              2401.77
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.89
16                      1.73
32                      3.47
64                      7.02
128                    13.82
256                    28.40
512                    56.27
1024                  108.02
2048                  128.10
4096                  278.93
8192                  709.81
16384                1154.14
32768                1752.40
65536                1181.45
131072               1705.36
262144               1971.32
524288               2166.89
1048576              2279.33
2097152              2403.69
4194304              2404.50
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.88
16                      1.74
32                      3.51
64                      7.03
128                    13.86
256                    27.60
512                    56.21
1024                  104.36
2048                  130.85
4096                  398.06
8192                  713.45
16384                1166.91
32768                1758.85
65536                1185.17
131072               1678.83
262144               1940.35
524288               2151.43
1048576              2273.66
2097152              2399.04
4194304              2393.69
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.88
16                      1.74
32                      3.54
64                      6.98
128                    13.86
256                    28.65
512                    53.01
1024                  101.03
2048                  131.42
4096                  396.69
8192                  703.66
16384                1156.32
32768                1769.12
65536                1184.05
131072               1695.71
262144               1941.06
524288               2154.09
1048576              2275.37
2097152              2403.88
4194304              2399.90
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.88
16                      1.75
32                      3.51
64                      6.93
128                    13.99
256                    28.36
512                    56.24
1024                  102.04
2048                  130.46
4096                  396.65
8192                  714.07
16384                1151.66
32768                1743.59
65536                1196.10
131072               1701.17
262144               1930.19
524288               2150.91
1048576              2280.43
2097152              2400.06
4194304              2399.98
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.88
16                      1.75
32                      3.48
64                      7.00
128                    13.93
256                    28.48
512                    56.92
1024                  102.20
2048                  131.84
4096                  289.12
8192                  717.09
16384                1038.88
32768                1767.32
65536                1189.30
131072               1682.39
262144               1936.11
524288               2165.97
1048576              2280.79
2097152              2401.74
4194304              2402.77
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.87
16                      1.73
32                      3.50
64                      6.92
128                    13.88
256                    28.17
512                    55.98
1024                  102.63
2048                  130.54
4096                  386.90
8192                  708.84
16384                1146.23
32768                1742.26
65536                1179.25
131072               1651.12
262144               1884.90
524288               2152.45
1048576              2267.69
2097152              2397.62
4194304              2404.20
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.88
16                      1.76
32                      3.57
64                      7.00
128                    13.97
256                    28.63
512                    56.39
1024                  103.36
2048                  130.98
4096                  397.08
8192                  710.11
16384                1151.46
32768                1758.97
65536                1178.51
131072               1687.72
262144               1913.35
524288               2164.16
1048576              2279.04
2097152              2395.01
4194304              2395.84
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.45
8                       0.88
16                      1.73
32                      3.54
64                      6.96
128                    13.79
256                    28.69
512                    56.33
1024                  102.63
2048                  131.15
4096                  399.21
8192                  709.21
16384                1154.48
32768                1773.38
65536                1194.82
131072               1713.82
262144               1908.74
524288               2166.32
1048576              2277.71
2097152              2403.98
4194304              2392.54
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.87
16                      1.75
32                      3.50
64                      7.03
128                    13.88
256                    28.21
512                    56.58
1024                  102.17
2048                  131.01
4096                  395.43
8192                  708.12
16384                1162.17
32768                1755.97
65536                1181.62
131072               1650.61
262144               1916.64
524288               2161.50
1048576              2273.88
2097152              2396.69
4194304              2391.53
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.88
16                      1.73
32                      3.45
64                      7.01
128                    13.74
256                    28.34
512                    56.22
1024                  102.66
2048                  129.62
4096                  396.80
8192                  708.93
16384                1142.47
32768                1756.58
65536                1192.06
131072               1700.22
262144               1968.51
524288               2156.37
1048576              2275.37
2097152              2402.37
4194304              2392.87
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.87
16                      1.76
32                      3.51
64                      7.00
128                    13.88
256                    28.47
512                    56.58
1024                  101.40
2048                  131.29
4096                  302.37
8192                  714.66
16384                1139.04
32768                1664.40
65536                1200.85
131072               1657.52
262144               1940.95
524288               2165.43
1048576              2279.22
2097152              2405.60
4194304              2413.15
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.88
16                      1.74
32                      3.48
64                      7.04
128                    13.84
256                    28.53
512                    56.56
1024                  103.75
2048                  131.46
4096                  391.73
8192                  710.55
16384                1149.67
32768                1752.48
65536                1195.72
131072               1689.73
262144               1923.47
524288               2168.15
1048576              2273.36
2097152              2401.64
4194304              2403.50
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.88
16                      1.74
32                      3.51
64                      6.98
128                    13.82
256                    28.59
512                    56.63
1024                  101.32
2048                  130.65
4096                  397.18
8192                  706.34
16384                1154.87
32768                1747.69
65536                1196.10
131072               1697.64
262144               1931.77
524288               2149.67
1048576              2271.31
2097152              2394.52
4194304              2393.65
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.44
8                       0.88
16                      1.74
32                      3.47
64                      6.93
128                    13.98
256                    27.92
512                    56.44
1024                  102.30
2048                  130.89
4096                  393.46
8192                  712.98
16384                1149.59
32768                1190.58
65536                1162.75
131072               1707.19
262144               1922.90
524288               2157.38
1048576              2274.63
2097152              2392.24
4194304              2394.60
