Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.11
4                       0.22
8                       0.43
16                      0.86
32                      1.72
64                      3.44
128                     6.88
256                     9.73
512                    19.46
1024                   38.81
2048                   59.86
4096                  117.46
8192                  233.66
16384                 464.47
32768                 882.40
65536                 724.73
131072               1396.49
262144               1946.98
524288               2155.00
1048576              2324.96
2097152              2472.88
4194304              2518.57
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.11
4                       0.22
8                       0.43
16                      0.86
32                      1.72
64                      3.43
128                     6.88
256                     9.73
512                    19.51
1024                   38.77
2048                   59.80
4096                  117.22
8192                  233.14
16384                 463.27
32768                 878.55
65536                 720.38
131072               1398.12
262144               1935.58
524288               2149.94
1048576              2313.42
2097152              2465.21
4194304              2505.38
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.11
4                       0.22
8                       0.43
16                      0.86
32                      1.73
64                      3.44
128                     6.90
256                     9.75
512                    19.56
1024                   39.00
2048                   60.23
4096                  118.03
8192                  235.35
16384                 465.88
32768                 887.06
65536                 723.90
131072               1396.27
262144               1899.89
524288               2157.24
1048576              2313.21
2097152              2467.09
4194304              2502.78
Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.11
4                       0.22
8                       0.43
16                      0.87
32                      1.73
64                      3.46
128                     6.92
256                    13.83
512                    19.61
