Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.26
2                      27.33
4                      27.03
8                      27.04
16                     27.06
32                     27.04
64                     27.08
128                    27.08
256                    27.08
512                    27.10
1024                   27.25
2048                   25.00
4096                   25.73
8192                   26.39
16384                  28.58
32768                  60.08
65536                 139.94
131072                152.36
262144                217.20
524288                308.84
1048576               511.42
2097152               917.47
4194304              1964.80
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.10
2                      27.08
4                      27.11
8                      27.09
16                     27.09
32                     27.11
64                     27.12
128                    27.12
256                    27.17
512                    27.19
1024                   27.27
2048                   25.09
4096                   25.86
8192                   26.52
16384                  28.63
32768                  50.33
65536                 146.78
131072                177.91
262144                213.34
524288                311.94
1048576               510.68
2097152               928.73
4194304              1960.19
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.21
2                      27.18
4                      27.17
8                      27.22
16                     27.24
32                     27.32
64                     27.24
128                    27.27
256                    27.24
512                    27.23
1024                   27.39
2048                   24.96
4096                   25.70
8192                   26.43
16384                  28.48
32768                  49.40
65536                 149.96
131072                177.42
262144                209.80
524288                308.51
1048576               508.80
2097152               921.05
4194304              1945.48
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.08
2                      27.07
4                      27.09
8                      27.11
16                     27.05
32                     27.09
64                     27.10
128                    27.13
256                    27.11
512                    27.19
1024                   27.31
2048                   25.17
4096                   25.69
8192                   26.36
16384                  28.64
32768                  38.35
65536                 139.51
131072                150.04
262144                214.78
524288                305.49
1048576               510.33
2097152               919.26
4194304              1956.81
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.05
2                      27.01
4                      27.01
8                      27.04
16                     27.03
32                     27.62
64                     27.06
128                    27.10
256                    27.05
512                    27.11
1024                   27.25
2048                   25.10
4096                   25.68
8192                   26.37
16384                  28.65
32768                  60.18
65536                 139.53
131072                155.18
262144                215.34
524288                310.03
1048576               508.93
2097152               924.63
4194304              1951.08
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.09
2                      27.07
4                      27.13
8                      27.12
16                     27.12
32                     27.19
64                     27.14
128                    27.16
256                    27.17
512                    27.21
1024                   27.31
2048                   25.24
4096                   25.74
8192                   26.47
16384                  28.73
32768                  49.75
65536                 149.76
131072                173.45
262144                214.12
524288                300.58
1048576               510.96
2097152               921.70
4194304              1953.87
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.10
2                      27.05
4                      27.12
8                      27.67
16                     27.11
32                     27.14
64                     27.13
128                    27.16
256                    27.16
512                    27.21
1024                   27.27
2048                   25.18
4096                   25.87
8192                   26.54
16384                  28.61
32768                  49.33
65536                 149.52
131072                172.89
262144                210.34
524288                305.37
1048576               511.35
2097152               925.36
4194304              1951.92
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.08
2                      27.09
4                      27.12
8                      27.13
16                     27.14
32                     27.13
64                     27.17
128                    27.15
256                    27.14
512                    27.17
1024                   27.24
2048                   25.13
4096                   25.82
8192                   26.51
16384                  28.67
32768                  60.21
65536                 139.68
131072                155.97
262144                215.92
524288                308.85
1048576               510.38
2097152               924.94
4194304              1956.74
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      26.91
2                      26.92
4                      26.92
8                      26.95
16                     26.95
32                     26.93
64                     26.98
128                    26.92
256                    26.97
512                    26.98
1024                   27.21
2048                   25.09
4096                   25.69
8192                   26.44
16384                  28.61
32768                  49.41
65536                 149.94
131072                172.87
262144                216.47
524288                301.82
1048576               509.22
2097152               921.70
4194304              1948.32
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.10
2                      27.07
4                      27.13
8                      27.12
16                     27.15
32                     27.15
64                     27.13
128                    27.16
256                    27.15
512                    27.25
1024                   27.36
2048                   25.19
4096                   25.81
8192                   26.56
16384                  28.66
32768                  60.14
65536                 139.96
131072                153.95
262144                215.07
524288                309.08
1048576               510.55
2097152               919.13
4194304              1958.06
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.16
2                      27.15
4                      27.13
8                      27.71
16                     27.15
32                     27.17
64                     27.18
128                    27.13
256                    27.14
512                    27.19
1024                   27.35
2048                   25.07
4096                   25.78
8192                   26.51
16384                  28.67
32768                  60.19
65536                 139.96
131072                150.53
262144                215.61
524288                308.78
1048576               510.34
2097152               922.65
4194304              1959.42
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.09
2                      27.03
4                      27.09
8                      27.07
16                     27.59
32                     27.01
64                     27.09
128                    27.08
256                    27.10
512                    27.15
1024                   27.25
2048                   25.16
4096                   25.79
8192                   26.47
16384                  28.59
32768                  60.06
65536                 139.53
131072                155.16
262144                216.71
524288                305.94
1048576               509.95
2097152               924.80
4194304              1956.30
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.20
2                      27.23
4                      27.27
8                      27.20
16                     27.19
32                     27.24
64                     27.21
128                    27.81
256                    27.22
512                    27.29
1024                   27.35
2048                   25.23
4096                   25.82
8192                   26.54
16384                  28.79
32768                  61.21
65536                 137.96
131072                159.63
262144                216.77
524288                305.69
1048576               511.98
2097152               922.42
4194304              1957.65
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.21
2                      27.18
4                      27.23
8                      27.22
16                     27.23
32                     27.26
64                     27.23
128                    27.24
256                    27.22
512                    27.30
1024                   27.41
2048                   25.04
4096                   25.73
8192                   26.57
16384                  28.60
32768                  49.50
65536                 149.15
131072                174.01
262144                216.18
524288                308.38
1048576               510.30
2097152               920.63
4194304              1948.94
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      26.92
2                      26.90
4                      26.92
8                      26.94
16                     26.89
32                     26.91
64                     26.90
128                    26.95
256                    26.95
512                    27.00
1024                   27.13
2048                   25.07
4096                   25.67
8192                   26.45
16384                  28.65
32768                  61.24
65536                 140.01
131072                152.11
262144                214.29
524288                305.43
1048576               510.13
2097152               932.83
4194304              1950.27
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      26.99
2                      26.97
4                      26.99
8                      26.98
16                     26.96
32                     27.03
64                     27.04
128                    27.04
256                    27.04
512                    27.17
1024                   27.29
2048                   25.03
4096                   25.73
8192                   26.38
16384                  28.44
32768                  38.35
65536                 139.11
131072                156.23
262144                215.31
524288                313.85
1048576               509.73
2097152               918.82
4194304              1954.20
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.05
2                      27.05
4                      27.09
8                      27.10
16                     27.07
32                     27.11
64                     27.14
128                    27.15
256                    27.16
512                    27.19
1024                   27.32
2048                   25.19
4096                   25.87
8192                   26.53
16384                  28.76
32768                  60.27
65536                 139.90
131072                149.88
262144                217.05
524288                307.33
1048576               510.69
2097152               920.02
4194304              1946.99
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.05
2                      26.99
4                      27.07
8                      27.02
16                     27.08
32                     27.03
64                     27.06
128                    27.06
256                    27.08
512                    27.09
1024                   27.26
2048                   25.04
4096                   25.78
8192                   26.51
16384                  28.66
32768                  38.31
65536                 139.58
131072                151.46
262144                213.67
524288                307.60
1048576               509.36
2097152               919.04
4194304              1959.62
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.26
2                      27.22
4                      27.27
8                      27.27
16                     27.28
32                     27.30
64                     27.27
128                    27.29
256                    27.26
512                    27.29
1024                   27.37
2048                   25.22
4096                   25.83
8192                   26.57
16384                  28.76
32768                  38.33
65536                 139.94
131072                153.94
262144                215.44
524288                305.00
1048576               525.31
2097152               920.03
4194304              1959.05
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.15
2                      27.14
4                      27.16
8                      27.17
16                     27.16
32                     27.20
64                     27.18
128                    27.19
256                    27.20
512                    27.23
1024                   27.37
2048                   25.12
4096                   25.83
8192                   26.58
16384                  28.58
32768                  60.19
65536                 139.91
131072                152.83
262144                216.12
524288                309.21
1048576               511.30
2097152               920.92
4194304              1955.75
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.13
2                      27.11
4                      27.15
8                      27.13
16                     27.16
32                     27.10
64                     27.14
128                    27.09
256                    27.15
512                    27.22
1024                   27.35
2048                   25.13
4096                   25.85
8192                   26.57
16384                  28.45
32768                  60.27
65536                 139.79
131072                154.10
262144                220.09
524288                304.46
1048576               511.37
2097152               923.06
4194304              1953.44
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.73
2                      27.10
4                      27.15
8                      27.15
16                     27.18
32                     27.20
64                     27.17
128                    27.12
256                    27.17
512                    27.20
1024                   27.34
2048                   25.13
4096                   25.83
8192                   26.52
16384                  28.69
32768                  38.41
65536                 139.76
131072                150.38
262144                215.33
524288                303.45
1048576               510.49
2097152               926.91
4194304              1945.68
