Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              35.25
2              35.23
4              35.25
8              35.25
16             35.31
32             35.28
64             35.26
128            35.24
256            35.21
512            25.37
1024           25.46
2048           25.44
4096           27.49
8192           28.11
16384          39.21
32768          47.11
65536         157.03
131072        174.02
262144        250.88
524288        311.41
1048576       528.30
2097152       933.81
4194304      1971.67
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              35.11
2              35.31
4              35.11
8              35.15
16             35.18
32             35.14
64             35.17
128            35.17
256            35.16
512            25.46
1024           25.54
2048           25.52
4096           27.79
8192           28.13
16384          39.13
32768          46.83
65536         156.09
131072        174.27
262144        249.70
524288        315.99
1048576       518.56
2097152       927.32
4194304      1966.56
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              35.22
2              35.39
4              35.58
8              35.22
16             35.36
32             35.25
64             35.26
128            35.26
256            35.27
512            25.36
1024           25.43
2048           25.45
4096           27.51
8192           37.17
16384          38.99
32768          46.76
65536         156.44
131072        180.01
262144        251.03
524288        313.76
1048576       519.33
2097152       932.46
4194304      1973.67
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              35.43
2              35.47
4              35.42
8              35.43
16             35.49
32             35.42
64             35.45
128            35.41
256            35.49
512            25.44
1024           25.54
