Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          53024.28
2                       0.09          46740.66
4                       0.19          46772.87
8                       0.37          46730.24
16                      0.75          46736.38
32                      1.50          46725.53
64                      2.99          46676.77
128                     5.98          46703.15
256                     8.35          32603.14
512                    16.57          32366.94
1024                   33.09          32313.70
2048                   51.84          25311.01
4096                  102.56          25039.06
8192                  204.07          24910.54
16384                 403.99          24657.51
32768                1239.66          37831.43
65536                 620.69           9471.01
131072               1197.38           9135.28
262144               1640.84           6259.31
524288               1883.13           3591.79
1048576              2049.00           1954.08
2097152              2188.34           1043.48
4194304              2212.93            527.60
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          46709.39
2                       0.09          46625.86
4                       0.19          46699.77
8                       0.37          46692.17
16                      0.75          46717.39
32                      1.50          46740.97
64                      3.00          46836.23
128                     5.97          46611.72
256                    11.92          46557.12
512                    16.60          32427.83
1024                   33.18          32400.07
2048                   52.03          25403.45
4096                  102.99          25142.99
8192                  204.84          25004.79
16384                 405.63          24757.96
32768                1245.30          38003.68
65536                 620.98           9475.34
131072               1198.42           9143.22
262144               1631.21           6222.55
524288               1884.64           3594.66
1048576              2047.56           1952.70
2097152              2184.22           1041.52
4194304              2210.57            527.04
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          53244.14
2                       0.11          53221.89
4                       0.19          46893.24
8                       0.38          46917.41
16                      0.75          46904.68
32                      1.50          46890.72
64                      3.01          47037.79
128                     6.00          46839.39
256                    11.91          46520.96
512                    16.60          32418.73
1024                   33.23          32449.35
2048                   52.07          25424.61
4096                  102.87          25114.80
8192                  313.53          38273.16
16384                 405.26          24735.12
32768                 765.33          23356.03
65536                 622.53           9499.10
131072               1200.37           9158.07
262144               1647.36           6284.19
524288               1890.03           3604.96
1048576              2051.22           1956.20
2097152              2191.57           1045.02
