Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.51
2                      39.55
4                      39.49
8                      39.50
16                     39.50
32                     39.56
64                     40.03
128                    39.52
256                    39.60
512                    28.47
1024                   28.36
2048                   28.81
4096                   30.75
8192                   31.24
16384                  43.57
32768                  65.29
65536                 174.88
131072                198.33
262144                284.29
524288                349.13
1048576               571.17
2097152              1014.52
4194304              2137.86
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.17
2                      39.18
4                      39.20
8                      39.20
16                     39.21
32                     39.24
64                     39.24
128                    39.26
256                    39.31
512                    28.37
1024                   28.28
2048                   28.80
4096                   30.81
8192                   41.49
16384                  43.50
32768                  52.15
65536                 175.18
131072                204.80
262144                284.46
524288                349.17
1048576               569.00
2097152              1018.35
4194304              2132.49
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.36
2                      39.39
4                      39.36
8                      39.39
16                     39.40
32                     39.42
64                     39.47
128                    39.41
256                    39.47
512                    28.14
1024                   28.27
2048                   28.85
4096                   30.73
8192                   31.29
16384                  43.36
32768                  52.17
65536                 175.41
131072                197.51
262144                283.81
524288                349.17
1048576               571.21
2097152              1025.32
4194304              2130.84
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.53
2                      39.57
4                      39.98
8                      39.50
16                     39.56
32                     39.50
64                     39.66
128                    39.60
256                    39.61
512                    28.40
1024                   28.52
2048                   29.00
4096                   30.93
8192                   42.00
16384                  43.83
32768                  52.39
65536                 175.62
131072                196.63
262144                284.84
524288                351.14
1048576               569.68
2097152              1020.71
4194304              2136.81
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.43
2                      39.40
4                      39.39
8                      39.44
16                     39.46
32                     39.46
64                     39.56
128                    39.48
256                    39.59
512                    28.45
1024                   28.29
2048                   28.88
4096                   30.70
8192                   31.33
16384                  43.63
32768                  52.25
65536                 176.34
131072                205.18
262144                285.51
524288                348.73
1048576               571.46
2097152              1023.13
4194304              2139.21
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      34.86
2                      34.84
4                      34.81
8                      34.79
16                     34.84
32                     34.84
64                     34.86
128                    34.88
256                    34.92
512                    25.03
1024                   25.11
2048                   25.45
4096                   27.31
8192                   36.61
16384                  38.27
32768                  46.04
65536                 156.56
131072                181.25
262144                251.27
524288                382.13
1048576               561.64
2097152               921.40
4194304              1963.73
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      35.11
2                      35.14
4                      35.09
8                      35.10
16                     39.86
32                     39.83
64                     39.85
128                    39.93
256                    39.91
512                    28.47
1024                   28.54
2048                   28.89
4096                   30.93
8192                   31.41
16384                  43.48
32768                  52.10
65536                 176.87
131072                204.43
262144                284.43
524288                426.08
1048576               722.06
2097152              1016.51
4194304              2138.37
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.38
2                      39.35
4                      39.35
8                      39.36
16                     39.37
32                     39.44
64                     39.42
128                    39.44
256                    39.43
512                    28.30
1024                   28.41
2048                   28.84
4096                   30.86
8192                   31.29
16384                  43.34
32768                  51.87
65536                 175.82
131072                203.50
262144                283.68
524288                426.37
1048576               569.79
2097152              1015.51
4194304              2140.79
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.53
2                      39.57
4                      39.57
8                      39.58
16                     39.59
32                     39.58
64                     39.64
128                    39.63
256                    39.70
512                    28.51
1024                   28.80
2048                   28.89
4096                   30.80
8192                   31.31
16384                  43.50
32768                  52.34
65536                 176.36
131072                204.00
262144                285.63
524288                350.50
1048576               570.67
2097152              1013.81
4194304              2141.47
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.59
2                      39.62
4                      39.62
8                      39.61
16                     39.64
32                     39.60
64                     39.63
128                    39.63
256                    39.67
512                    28.49
1024                   28.58
2048                   28.94
4096                   31.02
8192                   41.66
16384                  43.56
32768                  52.31
65536                 176.94
131072                198.20
262144                283.88
524288                425.04
1048576               570.34
2097152              1020.04
4194304              2143.81
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.27
2                      39.23
4                      39.23
8                      39.27
16                     39.30
32                     39.29
64                     39.33
128                    39.30
256                    39.36
512                    28.23
1024                   28.31
2048                   28.80
4096                   30.95
8192                   41.27
16384                  43.52
32768                  51.88
65536                 175.75
131072                204.23
262144                283.42
524288                350.70
1048576               569.69
2097152              1026.83
4194304              2133.21
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.44
2                      39.46
4                      40.05
8                      39.41
16                     39.45
32                     39.44
64                     39.54
128                    39.48
256                    39.54
512                    28.33
1024                   28.45
2048                   29.02
4096                   31.01
8192                   41.32
16384                  43.54
32768                  52.32
65536                 176.44
131072                199.11
262144                285.29
524288                351.91
1048576               569.04
2097152              1020.70
4194304              2137.32
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.46
2                      39.53
4                      39.46
8                      39.51
16                     39.51
32                     39.51
64                     39.55
128                    39.50
256                    39.55
512                    28.39
1024                   28.31
2048                   28.69
4096                   30.93
8192                   41.21
16384                  43.37
32768                  51.75
65536                 175.62
131072                198.68
262144                283.89
524288                349.57
1048576               569.33
2097152              1014.53
4194304              2136.63
