Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.37
4                       0.76
8                       1.51
16                      3.00
32                      5.95
64                     11.90
128                    23.93
256                    47.78
512                    78.03
1024                  186.30
2048                  247.06
4096                  479.41
8192                  962.54
16384                1320.70
32768                1716.77
65536                1257.77
131072               1507.26
262144               1594.61
524288               1637.27
1048576              1744.07
2097152              1775.19
4194304              1637.22
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.12
2                       0.37
4                       0.76
8                       1.52
16                      3.03
32                      5.98
64                     11.99
128                    24.00
256                    47.66
512                    95.07
1024                  187.40
2048                  269.26
4096                  488.31
8192                  963.42
16384                1373.72
32768                1804.00
65536                1254.73
131072               1400.25
262144               1574.79
524288               1622.25
1048576              1556.08
2097152              1555.58
4194304              1569.36
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.18
2                       0.38
4                       0.76
8                       1.53
16                      3.02
32                      6.00
64                     12.01
128                    24.03
256                    47.90
512                    95.34
1024                  187.54
2048                  246.75
4096                  478.79
8192                  974.81
16384                1438.45
32768                1793.38
65536                1409.22
131072               1418.75
262144               1608.48
524288               1654.85
1048576              1674.96
2097152              1680.90
4194304              1576.37
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.17
2                       0.38
4                       0.76
8                       1.51
16                      3.01
32                      5.96
64                     11.81
128                    23.90
256                    47.54
512                    94.67
1024                  150.89
2048                  247.32
4096                  556.13
8192                  971.46
16384                1422.82
32768                1892.43
65536                1377.32
131072               1488.10
262144               1592.22
524288               1632.00
1048576              1672.67
2097152              1663.00
4194304              1582.49
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.16
2                       0.38
4                       0.75
8                       1.51
16                      3.00
32                      5.91
64                     11.84
128                    23.79
256                    47.36
512                    79.74
1024                  185.08
2048                  261.04
4096                  509.76
8192                  968.76
16384                1422.03
32768                1896.35
65536                1419.21
131072               1594.56
262144               1586.23
524288               1649.58
1048576              1672.56
