Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.13
4                       0.35
8                       0.71
16                      1.42
32                      2.84
64                      5.68
128                    11.36
256                    22.75
512                    45.22
1024                   88.46
2048                  163.28
4096                  305.77
8192                  537.70
16384                 870.25
32768                1256.90
65536                 968.64
131072               1250.72
262144               1451.28
524288               1545.47
1048576              1612.48
2097152              1656.87
4194304              1672.05
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.17
4                       0.35
8                       0.70
16                      1.39
32                      2.78
64                      5.55
128                    11.11
256                    21.61
512                    43.73
1024                   88.77
2048                  159.09
4096                  297.82
8192                  527.04
16384                 837.77
32768                 906.70
65536                 969.63
131072               1206.82
262144               1276.49
524288               1431.12
1048576              1505.25
2097152              1507.48
4194304              1544.30
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.09
2                       0.18
4                       0.35
8                       0.70
16                      1.40
32                      2.81
64                      5.63
128                    11.24
256                    21.91
512                    43.62
1024                   89.10
2048                  160.26
4096                  301.09
8192                  532.39
16384                 749.51
32768                1033.91
65536                 980.51
131072               1214.36
262144               1299.92
524288               1494.61
1048576              1502.64
2097152              1523.31
4194304              1520.59
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.09
2                       0.18
4                       0.36
8                       0.71
16                      1.43
32                      2.86
64                      5.72
128                    11.41
256                    22.85
512                    45.51
1024                   91.02
