Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.17
2                      39.08
4                      35.29
8                      37.00
16                     39.14
32                     39.24
64                     39.25
128                    39.55
256                    39.65
512                    39.91
1024                   41.64
2048                   68.23
4096                   71.03
8192                   76.04
16384                  86.10
32768                 113.76
65536                 273.40
131072                347.36
262144                464.16
524288                643.65
1048576              1253.06
2097152              2284.29
4194304              3586.01
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.19
2                      39.10
4                      39.11
8                      39.13
16                     39.17
32                     39.28
64                     39.30
128                    39.50
256                    39.64
512                    39.89
1024                   41.69
2048                   67.77
4096                   71.09
8192                   74.79
16384                  86.28
32768                 112.40
65536                 271.42
131072                348.43
262144                468.92
524288                615.80
1048576              1261.31
2097152              2299.86
4194304              3630.86
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      36.46
2                      30.74
4                      30.73
8                      30.75
16                     30.73
32                     30.88
64                     30.88
128                    31.15
256                    31.26
512                    31.42
1024                   32.65
2048                   67.07
4096                   71.19
8192                   76.24
16384                  86.36
32768                 113.53
65536                 271.97
131072                348.53
262144                468.92
524288                687.79
1048576              1259.78
2097152              2193.74
4194304              3610.94
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.76
2                      38.72
4                      38.75
8                      37.47
16                     36.54
32                     36.61
64                     36.67
128                    36.35
256                    30.93
512                    31.07
1024                   32.39
2048                   63.07
4096                   69.71
8192                   75.59
16384                  85.52
32768                 115.28
65536                 270.28
131072                346.03
262144                463.98
524288                621.88
1048576              1256.03
2097152              2289.59
4194304              3620.19
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.41
2                      39.17
4                      39.18
8                      39.21
16                     39.20
32                     39.30
64                     39.30
128                    39.53
256                    37.99
512                    30.44
1024                   31.69
2048                   64.66
4096                   68.10
8192                   76.13
16384                  86.27
32768                 112.46
65536                 270.95
131072                347.92
262144                466.69
524288                677.25
1048576              1257.64
2097152              2236.26
4194304              3563.95
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.22
2                      39.18
4                      39.13
8                      39.14
16                     39.16
32                     39.21
64                     39.25
128                    39.51
256                    39.63
512                    39.98
1024                   39.88
2048                   66.81
4096                   71.02
8192                   76.08
16384                  86.29
32768                 118.87
65536                 279.96
131072                347.88
262144                456.98
524288                643.97
1048576              1256.11
2097152              2290.27
4194304              3602.80
