Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              67.01
2              66.15
4              66.98
8              66.93
16             66.90
32             66.93
64             67.10
128            67.49
256            67.49
512            68.70
1024           64.65
2048           69.80
4096           70.74
8192           84.18
16384          89.90
32768         119.87
65536         294.89
131072        360.66
262144        473.48
524288        718.72
1048576      1277.67
2097152      2294.66
4194304      3608.13
Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              67.61
2              67.56
4              67.46
8              67.51
16             66.29
32             67.70
64             66.66
128            67.52
256            67.94
512            39.24
1024           39.94
2048           68.68
4096           70.68
8192           78.63
16384          89.65
32768         107.38
65536         292.84
131072        378.39
262144        483.38
524288        704.23
1048576      1373.02
2097152      2544.29
4194304      3918.09
Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              66.89
2              66.95
4              66.84
8              66.82
16             66.81
32             66.81
64             66.98
128            67.24
256            67.29
512            67.65
1024           68.25
2048           69.37
4096           71.32
8192           83.73
16384          90.43
32768         119.98
65536         295.10
131072        367.55
262144        476.43
524288        708.59
