Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          73692.72
2                       0.16          77525.00
4                       0.31          77511.90
8                       0.62          77570.98
16                      1.24          77360.21
32                      2.48          77578.62
64                      4.99          78000.78
128                     9.98          78002.21
256                    19.78          77271.20
512                    39.64          77428.52
1024                   79.36          77496.80
2048                  132.31          64605.01
4096                  271.12          66191.49
8192                  476.59          58177.62
16384                 790.51          48248.74
32768                1122.74          34263.24
65536                 905.86          13822.30
131072               1120.64           8549.80
262144               1246.18           4753.81
524288               1314.67           2507.53
1048576              1339.34           1277.29
2097152              1339.60            638.77
4194304              1331.72            317.51
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.08          76157.90
2                       0.17          85198.88
4                       0.34          85314.92
8                       0.68          85252.33
16                      1.36          85024.71
32                      2.72          85029.49
64                      5.49          85706.22
128                    10.91          85270.65
256                    21.38          83500.91
512                    43.10          84177.88
1024                   88.22          86156.59
2048                  142.68          69666.78
4096                  283.57          69232.07
8192                  539.25          65825.82
16384                 846.97          51694.76
32768                1197.81          36554.27
65536                 969.42          14792.13
131072               1226.10           9354.41
262144               1331.59           5079.60
524288               1406.60           2682.87
1048576              1495.24           1425.97
2097152              1523.87            726.64
4194304              1544.78            368.30
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.05          50240.79
2                       0.13          66332.27
4                       0.31          77303.37
8                       0.62          77943.08
16                      1.25          78073.95
32                      2.50          78053.90
64                      4.98          77792.72
128                    10.01          78168.25
256                    20.05          78335.99
512                    39.80          77729.68
1024                   79.74          77870.61
2048                  136.57          66685.57
4096                  261.70          63892.79
8192                  475.48          58042.42
16384                 777.57          47459.22
32768                1137.81          34723.24
65536                 873.08          13322.13
131072               1130.71           8626.67
262144               1331.05           5077.56
524288               1413.41           2695.86
1048576              1472.48           1404.26
2097152              1515.14            722.47
4194304              1533.93            365.72
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.08          76442.55
2                       0.17          85550.22
4                       0.35          86396.79
8                       0.69          86132.70
