Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.38
4                       0.76
8                       1.51
16                      3.06
32                      6.02
64                     12.28
128                    24.25
256                    47.48
512                    89.18
1024                  154.05
2048                  234.04
4096                  453.67
8192                 1066.19
16384                1615.24
32768                2205.43
65536                1791.10
131072               2424.02
262144               2809.71
524288               3050.97
1048576              3088.12
2097152              3102.44
4194304              3014.56
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.38
4                       0.76
8                       1.50
16                      3.00
32                      6.00
64                     12.20
128                    24.08
256                    47.15
512                    91.15
1024                  154.96
2048                  236.38
4096                  454.71
8192                 1061.46
16384                1617.00
32768                2263.97
65536                1795.41
131072               2477.52
262144               2795.66
524288               3031.10
1048576              3120.35
2097152              3180.96
4194304              3054.98
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.39
4                       0.77
8                       1.54
16                      3.07
32                      6.13
64                     12.31
128                    24.44
256                    47.35
512                    91.53
1024                  153.67
2048                  235.92
4096                  595.83
8192                 1077.29
16384                1623.70
