Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.09
2                       0.19
4                       0.37
8                       0.75
16                      1.50
32                      3.00
64                      5.98
128                    11.94
256                    19.37
512                    38.62
1024                   77.02
2048                  123.93
4096                  238.38
8192                  475.47
16384                1196.24
32768                2107.97
65536                1330.47
131072               2207.31
262144               2979.27
524288               3103.00
1048576              3182.28
2097152              3365.53
4194304              3396.46
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.10
2                       0.19
4                       0.38
8                       0.76
16                      1.52
32                      3.05
64                      6.09
128                    12.15
256                    19.51
512                    39.02
1024                   77.90
2048                  125.32
4096                  241.52
8192                  478.46
16384                 939.96
32768                2097.44
65536                1330.99
131072               2207.31
262144               3000.26
524288               3091.24
1048576              3177.15
2097152              3356.12
4194304              3389.83
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.10
2                       0.19
4                       0.38
8                       0.76
16                      1.53
32                      3.06
64                      6.12
128                    12.21
256                    19.35
512                    38.76
1024                   77.50
2048                  124.64
4096                  239.80
8192                  474.64
16384                 931.17
32768                1691.34
65536                1331.41
131072               2210.41
262144               2999.14
524288               3096.89
1048576              3170.93
2097152              3353.80
4194304              3393.22
Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.09
2                       0.19
4                       0.38
8                       0.76
16                      1.52
32                      3.03
64                      6.05
128                    12.09
256                    19.45
512                    38.85
1024                   77.39
2048                  125.19
4096                  241.76
8192                  478.57
16384                 931.70
32768                2083.12
65536                1326.94
131072               2212.37
262144               2978.30
524288               3106.03
1048576              3169.24
2097152              3346.42
4194304              3368.99
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
