Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              21.13
2              21.11
4              21.11
8              21.12
16             21.11
32             21.20
64             21.15
128            21.12
256            21.14
512            16.70
1024           16.78
2048           16.43
4096           18.75
8192           24.96
16384          26.85
32768          41.01
65536          87.40
131072        110.28
262144        163.62
524288        211.05
1048576       367.97
2097152       679.65
4194304      1503.36
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              21.17
2              21.14
4              21.22
8              21.21
16             21.20
32             21.22
64             21.18
128            21.19
256            21.25
512            16.65
1024           16.65
2048           16.40
4096           18.33
8192           24.62
16384          26.91
32768          39.12
65536          93.02
131072        106.74
262144        161.90
524288        211.08
1048576       370.65
2097152       667.94
4194304      1509.47
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              21.08
2              21.07
4              21.09
8              21.10
16             21.10
32             21.10
64             21.10
128            21.09
256            21.10
512            16.60
1024           16.68
2048           16.40
4096           18.55
8192           24.78
16384          26.99
32768          40.75
65536          86.54
131072        110.28
262144        162.67
524288        209.60
1048576       367.13
2097152       673.17
4194304      1511.94
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              21.10
2              21.08
4              21.06
8              21.12
16             21.10
32             21.12
64             21.09
128            21.09
256            21.09
512            16.59
1024           16.68
2048           16.33
4096           18.32
8192           24.70
16384          26.87
32768          39.00
65536          93.58
131072        107.29
262144        162.54
524288        209.25
1048576       367.24
2097152       663.58
4194304      1510.96
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              21.13
2              21.13
4              21.09
8              21.19
16             21.12
32             21.19
64             21.17
128            21.12
256            21.20
512            16.71
1024           16.80
2048           16.40
4096           18.50
8192           24.93
