Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.93
2                      23.96
4                      23.91
8                      23.93
16                     23.95
32                     23.92
64                     23.92
128                    23.88
256                    23.95
512                    18.70
1024                   18.84
2048                   18.56
4096                   20.57
8192                   27.77
16384                  29.75
32768                  43.66
65536                 104.14
131072                121.53
262144                164.38
524288                231.67
1048576               401.68
2097152               732.88
4194304              1607.16
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.09
2                      24.06
4                      24.05
8                      24.03
16                     24.06
32                     24.07
64                     24.06
128                    24.07
256                    24.06
512                    18.78
1024                   18.85
2048                   18.51
4096                   20.56
8192                   21.12
16384                  30.66
32768                  43.25
65536                 105.44
131072                121.59
262144                163.64
524288                230.98
1048576               400.83
2097152               733.84
4194304              1611.42
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      24.00
2                      24.03
4                      24.00
8                      24.03
16                     23.99
32                     24.01
64                     24.08
128                    24.04
256                    24.10
512                    18.84
1024                   18.88
2048                   18.62
4096                   20.76
8192                   21.24
16384                  30.73
32768                  43.74
65536                 106.15
131072                121.29
262144                163.93
524288                231.75
1048576               404.61
2097152               735.59
4194304              1605.66
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.92
2                      23.93
4                      23.93
8                      23.94
16                     23.96
32                     23.94
64                     23.94
128                    23.95
256                    24.00
512                    18.69
1024                   18.79
2048                   18.52
4096                   20.67
8192                   27.76
16384                  30.51
32768                  43.79
65536                 107.20
131072                121.90
262144                165.62
524288                232.11
1048576               400.86
2097152               736.92
4194304              1611.01
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
