Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.64
2                       1.26
4                       2.65
8                       5.26
16                     10.20
32                     19.51
64                     37.35
128                    70.97
256                   132.01
512                   230.86
1024                  442.30
2048                  749.29
4096                 1142.10
8192                 1340.31
16384                1347.97
32768                1257.61
65536                1107.66
131072               1124.16
262144               1358.55
524288               1701.77
1048576              1827.95
2097152              1839.00
4194304              1840.11
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.68
2                       1.35
4                       2.69
8                       5.38
16                     10.46
32                     19.55
64                     37.27
128                    69.16
256                   128.60
512                   236.12
1024                  409.26
2048                  706.40
4096                 1278.41
8192                 1739.99
16384                2055.88
32768                2250.90
65536                1252.31
131072               1276.49
262144               1458.81
524288               1652.09
1048576              1666.73
2097152              1714.15
4194304              1667.99
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.68
2                       1.36
4                       2.71
8                       5.32
16                     10.46
32                     19.40
64                     38.20
128                    70.33
256                   130.72
512                   231.23
1024                  444.66
2048                  731.55
4096                 1258.73
8192                 1660.59
16384                1919.76
32768                2079.89
65536                1211.96
131072               1255.51
262144               1404.25
524288               1712.20
1048576              1741.09
2097152              1747.20
4194304              1751.78
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.55
2                       1.11
4                       2.33
8                       4.83
16                      9.53
32                     19.17
64                     37.09
128                    71.49
256                   125.99
512                   254.20
1024                  447.26
2048                  824.68
4096                 1330.22
8192                 1673.51
16384                2007.37
32768                2092.60
65536                1393.10
131072               1441.81
262144               1498.08
524288               1719.39
1048576              1742.67
2097152              1739.45
4194304              1747.47
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.67
2                       1.37
4                       2.69
8                       5.42
16                     10.43
32                     20.06
64                     35.20
128                    66.71
256                   131.46
512                   238.99
1024                  414.52
2048                  824.85
4096                 1371.69
8192                 1976.74
16384                2004.80
32768                2280.26
65536                1409.97
131072               1420.18
262144               1471.39
524288               1804.55
1048576              1844.58
2097152              1803.05
4194304              1778.22
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.68
2                       1.36
4                       2.67
8                       5.42
16                     10.40
32                     20.07
64                     36.70
128                    69.85
256                   137.27
512                   233.28
1024                  452.15
2048                  779.43
4096                 1131.69
8192                 1376.05
16384                1389.80
32768                1318.84
65536                1129.13
131072               1176.92
262144               1418.02
524288               1790.22
1048576              1839.37
2097152              1853.34
4194304              1859.71
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.60
2                       1.25
4                       2.65
8                       5.42
16                     10.44
32                     19.79
64                     38.38
128                    67.71
256                   134.75
512                   248.57
1024                  451.22
2048                  805.54
4096                 1089.53
8192                 1283.53
16384                1468.19
32768                1486.32
65536                1075.80
131072               1152.31
262144               1404.53
524288               1725.84
1048576              1663.22
2097152              1757.66
4194304              1756.91
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.61
2                       1.24
4                       2.65
8                       5.36
16                     10.35
32                     19.82
64                     37.13
128                    72.16
256                   129.42
512                   236.42
1024                  483.87
2048                  895.15
4096                 1457.91
8192                 1880.34
16384                2183.67
32768                2219.80
65536                1348.98
131072               1400.01
262144               1502.68
524288               1794.90
1048576              1746.86
2097152              1753.77
4194304              1753.55
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.67
2                       1.33
4                       2.62
8                       5.39
16                     10.52
32                     19.75
64                     36.88
128                    68.12
256                   127.37
512                   229.42
1024                  440.77
2048                  741.71
4096                  990.28
8192                 1333.86
16384                1391.38
32768                1335.62
65536                1064.69
131072               1090.66
262144               1379.33
524288               1723.16
1048576              1750.18
2097152              1754.16
4194304              1656.85
