Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.23
2                       0.52
4                       1.25
8                       2.46
16                      4.71
32                      8.50
64                     16.53
128                    32.24
256                    60.70
512                   109.34
1024                  183.87
2048                  291.24
4096                  479.05
8192                  707.34
16384                 871.70
32768                 917.92
65536                1038.43
131072               1472.69
262144               1621.68
524288               1654.34
1048576              1665.63
2097152              1716.33
4194304              1884.97
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.50
4                       1.22
8                       2.41
16                      4.56
32                      8.54
64                     15.95
128                    31.58
256                    60.13
512                   108.65
1024                  184.96
2048                  281.85
4096                  439.82
8192                  686.47
16384                 833.73
32768                 874.09
65536                1037.46
131072               1510.37
262144               1643.04
524288               1642.08
1048576              1647.54
2097152              1651.35
4194304              1653.58
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.30
2                       0.62
4                       1.27
8                       2.43
16                      4.56
32                      8.65
64                     16.70
128                    32.12
256                    59.31
512                   109.35
1024                  207.53
2048                  317.20
4096                  475.05
8192                  696.69
16384                 873.81
32768                 780.75
65536                 995.63
131072               1475.22
262144               1636.25
524288               1660.41
1048576              1672.14
2097152              1680.43
4194304              1682.28
Warning: Permanently added '[osu-bw-multinode-2-worker-0.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-multinode-2-worker-1.osu-bw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
