Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              45.16
2              45.19
4              45.50
8              45.32
16             45.21
32             45.19
64             45.25
128            45.45
256            45.15
512            40.95
1024           41.56
2048           70.67
4096           75.46
8192           79.83
16384          99.09
32768         117.48
65536         307.22
131072        413.61
262144        628.55
524288        986.00
1048576      1767.33
2097152      3336.30
4194304      6046.36
Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              45.32
2              45.51
4              45.12
8              44.99
16             44.88
32             45.05
64             45.15
128            45.06
256            45.11
512            40.85
1024           37.43
2048           64.40
4096           64.87
8192           69.43
16384          78.03
32768         104.75
65536         269.68
131072        361.90
262144        476.14
524288        724.61
1048576      1237.72
2097152      2191.31
4194304      3560.84
Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              43.94
2              39.98
4              39.86
8              39.92
16             39.91
32             39.90
64             40.26
128            40.26
256            40.36
512            34.09
1024           34.78
2048           64.27
4096           69.29
8192           72.45
16384          76.87
32768          99.99
65536         249.56
131072        356.66
262144        496.52
524288        670.91
1048576      1088.81
2097152      2001.74
4194304      3527.74
Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              45.95
2              41.33
4              40.33
8              40.23
16             40.27
32             40.34
64             40.78
128            40.88
256            40.94
512            34.75
1024           35.23
2048           64.87
4096           72.43
8192           76.41
16384          91.67
32768         116.31
65536         276.78
131072        370.68
262144        497.07
524288        767.36
1048576      1355.18
2097152      2298.29
4194304      3838.55
Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              45.34
2              45.90
4              45.72
8              45.56
16             45.66
32             45.56
64             45.36
128            45.39
256            45.27
512            40.78
1024           41.40
2048           70.50
4096           75.38
8192           79.49
16384          97.32
32768         117.49
65536         307.09
131072        413.83
262144        628.99
524288        983.47
1048576      1764.11
2097152      3326.11
4194304      6119.18
Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              45.48
2              45.78
4              45.69
8              45.86
16             47.78
32             47.37
64             46.83
128            46.72
256            46.77
512            39.83
1024           40.48
2048           58.39
4096           59.51
8192           64.86
16384          73.27
32768         107.86
65536         248.17
131072        336.91
