Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.26         264831.59
2                       0.66         331060.55
4                       1.28         319178.07
8                       2.51         314305.72
16                      4.49         280315.91
32                      8.77         274208.69
64                     17.51         273545.87
128                    32.91         257087.42
256                    66.98         261647.56
512                   123.68         241569.64
1024                  234.40         228908.05
2048                  431.30         210593.32
4096                  729.54         178111.30
8192                 1044.96         127558.06
16384                1177.46          71866.74
32768                1242.74          37925.46
65536                1274.94          19454.02
131072               1381.15          10537.31
262144               1458.53           5563.84
524288               1494.29           2850.13
1048576              1539.58           1468.26
2097152              1512.72            721.32
4194304              1466.18            349.57
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.26         264503.50
2                       0.53         266676.17
4                       1.14         285437.18
8                       2.33         291443.32
16                      4.08         254894.06
32                      7.71         241070.61
64                     14.87         232282.50
128                    30.98         242006.77
256                    56.20         219529.82
512                   102.25         199710.50
1024                  182.48         178203.78
2048                  282.20         137792.52
4096                  441.69         107835.30
8192                  598.37          73043.16
16384                 702.99          42906.87
32768                 837.44          25556.77
65536                1343.62          20501.94
131072               1558.92          11893.58
262144               1614.74           6159.75
524288               1638.70           3125.57
1048576              1654.16           1577.53
2097152              1654.77            789.05
4194304              1655.85            394.79
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-0.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-multinode-2-worker-1.osu-mbwmr-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.28         276592.99
2                       0.56         277566.53
4                       1.11         277498.16
8                       2.22         277845.90
16                      4.46         278754.74
32                      8.92         278654.81
64                     16.77         262032.73
128                    28.67         223979.98
