Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.54
8                       1.08
16                      2.15
32                      4.26
64                      8.46
128                    16.88
256                    33.88
512                    68.28
1024                  127.38
2048                  161.96
4096                  446.47
8192                  805.40
16384                1280.97
32768                1889.11
65536                1362.27
131072               1949.40
262144               2199.75
524288               2439.84
1048576              2566.11
2097152              2705.66
4194304              2707.03
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.14
2                       0.27
4                       0.54
8                       1.08
16                      2.15
32                      4.31
64                      8.62
128                    16.88
256                    34.04
512                    67.34
1024                  126.98
2048                  162.49
4096                  308.18
8192                  829.21
16384                1286.69
32768                1901.95
65536                1348.09
131072               2003.66
262144               2167.89
524288               2428.72
1048576              2595.32
2097152              2709.64
4194304              2718.38
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.54
8                       1.08
16                      2.15
32                      4.33
64                      8.70
128                    17.16
256                    34.72
512                    67.55
1024                  129.66
2048                  162.78
4096                  468.86
8192                  803.94
16384                1288.60
32768                1977.74
65536                1356.43
131072               2006.36
262144               2196.71
524288               2454.52
1048576              2599.42
2097152              2705.51
4194304              2723.80
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.14
2                       0.27
4                       0.55
8                       1.08
16                      2.18
32                      4.33
64                      8.60
128                    17.21
256                    34.31
512                    67.97
1024                  127.30
2048                  162.31
4096                  308.76
8192                  810.44
16384                1296.71
32768                1715.82
65536                1352.88
131072               2021.13
262144               2215.74
524288               2454.09
1048576              2595.44
2097152              2709.77
4194304              2704.22
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.54
8                       1.07
16                      2.16
32                      4.29
64                      8.64
128                    17.08
256                    33.88
512                    67.66
1024                  127.70
2048                  162.32
4096                  332.93
8192                  802.70
16384                1292.68
32768                1905.36
65536                1362.83
131072               2006.22
262144               2184.80
524288               2466.54
1048576              2588.45
2097152              2715.48
4194304              2717.26
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.52
8                       1.08
16                      2.13
32                      4.28
64                      8.51
128                    17.01
256                    33.91
512                    67.55
1024                  126.41
2048                  161.41
4096                  338.16
8192                  794.49
16384                1286.23
32768                1981.27
65536                1374.94
131072               2043.98
262144               2234.40
524288               2438.51
1048576              2594.39
2097152              2705.57
4194304              2708.75
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.13
2                       0.27
4                       0.54
8                       1.07
16                      2.15
32                      4.30
64                      8.60
128                    17.17
256                    34.23
512                    67.81
1024                  123.22
2048                  162.07
4096                  348.90
