Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.13
4                       0.26
8                       0.53
16                      1.05
32                      2.11
64                      4.21
128                     8.41
256                    12.52
512                    25.04
1024                   49.97
2048                   78.53
4096                  153.55
8192                  305.29
16384                 601.85
32768                1607.91
65536                 904.79
131072               1662.99
262144               2254.87
524288               2453.43
1048576              2611.95
2097152              2775.01
4194304              2835.76
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.13
4                       0.26
8                       0.52
16                      1.04
32                      2.09
64                      4.16
128                     8.32
256                    12.48
512                    31.86
1024                   49.75
2048                   78.42
4096                  153.70
8192                  304.79
16384                 599.92
32768                1584.78
65536                 906.94
131072               1649.99
262144               2254.82
524288               2439.50
1048576              2608.79
2097152              2778.98
4194304              2818.14
Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.13
4                       0.26
8                       0.52
16                      1.05
32                      2.10
64                      4.20
128                     8.37
256                    12.49
512                    24.98
1024                   49.97
2048                   78.27
4096                  152.86
8192                  304.66
16384                 601.59
32768                1602.00
65536                 904.60
131072               1662.76
262144               2238.35
524288               2455.58
1048576              2616.30
2097152              2772.20
4194304              2828.29
Warning: Permanently added '[osu-bw-single-node-worker-1.osu-bw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bw-single-node-worker-0.osu-bw-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.13
4                       0.26
8                       0.52
