Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.98
2                      22.96
4                      22.99
8                      22.98
16                     22.96
32                     22.97
64                     23.01
128                    23.03
256                    23.05
512                    23.06
1024                   23.19
2048                   22.21
4096                   22.71
8192                   23.35
16384                  33.92
32768                  36.80
65536                 117.07
131072                134.52
262144                178.24
524288                269.25
1048576               450.22
2097152               800.22
4194304              1731.48
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.87
2                      22.83
4                      22.88
8                      22.88
16                     22.87
32                     22.87
64                     22.88
128                    22.97
256                    22.99
512                    23.10
1024                   23.14
2048                   22.21
4096                   22.63
8192                   23.42
16384                  25.34
32768                  44.20
65536                 123.72
131072                134.50
262144                178.42
524288                267.55
1048576               449.35
2097152               795.68
4194304              1734.18
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.99
2                      22.91
4                      23.00
8                      22.96
16                     23.00
32                     22.98
64                     23.01
128                    22.95
256                    23.02
512                    23.04
1024                   23.28
2048                   22.63
4096                   22.69
8192                   23.94
16384                  25.80
32768                  52.40
65536                 116.71
131072                134.29
262144                178.05
524288                267.72
1048576               449.86
2097152               797.95
4194304              1729.84
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.09
2                      23.11
4                      23.13
8                      23.09
16                     23.10
32                     23.08
64                     23.14
128                    23.11
256                    23.21
512                    23.23
1024                   23.35
2048                   22.34
4096                   23.14
8192                   23.74
16384                  25.26
32768                  44.12
65536                 124.75
131072                135.82
262144                178.39
524288                267.83
1048576               443.52
2097152               800.70
4194304              1737.71
Warning: Permanently added '[osu-latency-single-node-worker-0.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-single-node-worker-1.osu-latency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.94
2                      22.93
4                      22.94
8                      22.96
16                     22.94
32                     22.93
64                     22.98
128                    22.96
256                    23.01
512                    23.02
1024                   23.16
2048                   22.21
4096                   22.75
8192                   23.47
16384                  33.84
32768                  36.40
65536                 116.50
131072                133.58
262144                179.14
524288                267.43
1048576               443.44
2097152               802.33
4194304              1732.81
