Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              29.16
2              29.19
4              29.19
8              29.19
16             29.56
32             29.18
64             29.12
128            29.12
256            29.15
512            21.75
1024           21.70
2048           21.99
4096           24.02
8192           24.48
16384          33.84
32768          42.33
65536         133.01
131072        138.43
262144        186.21
524288        276.25
1048576       452.58
2097152       818.34
4194304      1751.13
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              29.14
2              29.15
4              29.13
8              29.17
16             29.18
32             29.21
64             29.12
128            29.05
256            29.11
512            21.79
1024           21.75
2048           22.14
4096           24.05
8192           24.71
16384          33.93
32768          51.57
65536         133.06
131072        151.20
262144        183.33
524288        275.11
1048576       451.85
2097152       809.07
4194304      1749.91
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              29.10
2              29.07
4              29.26
8              29.06
16             29.10
32             29.11
64             29.07
128            29.05
256            29.06
512            21.54
1024           21.68
2048           21.72
4096           23.64
8192           24.36
16384          33.75
32768          41.88
65536         133.69
131072        149.49
262144        184.51
524288        272.20
1048576       450.43
2097152       811.39
4194304      1752.21
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              29.36
2              29.38
4              29.50
8              29.33
16             29.37
32             29.36
64             29.26
128            29.23
256            29.24
512            21.89
1024           21.86
2048           22.11
4096           24.04
8192           24.78
16384          33.86
32768          42.58
65536         135.81
131072        151.24
262144        183.57
524288        271.38
1048576       453.49
2097152       812.19
4194304      1763.27
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              29.15
2              29.20
4              29.30
8              29.14
16             29.17
32             29.22
64             29.11
128            29.11
256            29.13
512            21.53
1024           21.64
2048           22.07
4096           24.07
8192           24.60
16384          33.64
32768          42.19
65536         135.68
131072        150.59
262144        211.19
524288        268.26
1048576       464.83
2097152       821.47
4194304      1751.74
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              29.11
2              29.20
4              29.17
8              29.14
16             29.16
32             29.14
64             29.06
128            29.04
256            29.09
512            21.57
1024           21.65
2048           21.87
4096           24.00
8192           24.65
16384          33.70
32768          42.20
65536         135.54
131072        149.49
262144        187.05
524288        273.09
1048576       451.55
2097152       811.28
4194304      1748.47
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              29.35
2              29.35
4              29.49
8              29.38
16             29.39
32             29.40
64             29.26
128            29.24
256            29.28
512            21.67
1024           21.74
2048           21.79
4096           23.88
8192           24.51
16384          33.87
32768          42.20
65536         134.60
131072        151.04
262144        183.87
524288        272.75
1048576       451.95
2097152       812.07
4194304      1753.98
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              29.28
2              29.28
4              29.24
8              29.26
16             29.23
32             29.26
64             29.15
128            29.13
256            29.16
512            21.67
1024           21.71
2048           21.96
4096           24.05
8192           24.57
16384          33.73
32768          42.25
65536         135.31
131072        151.02
262144        211.34
524288        269.86
1048576       451.66
2097152       821.79
4194304      1745.01
Warning: Permanently added '[osu-latencymp-single-node-worker-1.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-single-node-worker-0.osu-latencymp-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
