Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58403.26
2                       0.12          58615.18
4                       0.23          58584.78
8                       0.47          58553.21
16                      0.94          58554.79
32                      1.87          58526.57
64                      3.74          58467.10
128                     7.48          58403.65
256                    11.06          43210.33
512                    22.01          42984.79
1024                   43.84          42816.82
2048                   69.44          33907.95
4096                  137.10          33471.40
8192                  271.65          33160.00
16384                 537.24          32790.52
32768                1418.34          43284.17
65536                 798.27          12180.65
131072               1462.17          11155.45
262144               2000.52           7631.38
524288               2210.91           4216.98
1048576              2372.27           2262.37
2097152              2526.50           1204.73
4194304              2572.68            613.38
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58066.28
2                       0.12          58184.09
4                       0.23          58124.60
8                       0.47          58192.40
16                      0.93          58216.01
32                      1.86          58181.52
64                      3.72          58110.56
128                     7.43          58041.30
256                    11.01          42990.86
512                    21.71          42404.99
1024                   43.62          42597.04
2048                   69.09          33737.62
4096                  136.70          33374.98
8192                  271.49          33141.48
16384                 536.85          32766.93
32768                1006.49          30715.55
65536                 798.97          12191.36
131072               1463.97          11169.24
262144               1998.31           7622.95
524288               2224.16           4242.25
1048576              2373.15           2263.21
2097152              2529.55           1206.18
4194304              2578.72            614.81
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58662.27
2                       0.12          58795.75
4                       0.24          58756.87
8                       0.47          58718.28
16                      0.94          58603.30
32                      1.87          58575.51
64                      3.75          58590.20
128                     7.50          58572.40
256                    14.94          58365.85
512                    21.98          42929.90
1024                   44.08          43045.96
2048                   69.86          34109.04
4096                  138.23          33747.28
8192                  399.60          48778.82
16384                 542.49          33111.03
32768                1005.09          30672.90
65536                 803.81          12265.21
131072               1473.82          11244.33
262144               2007.49           7657.95
524288               2228.43           4250.40
1048576              2373.26           2263.31
2097152              2511.75           1197.70
4194304              2567.36            612.11
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58089.58
2                       0.12          58166.55
4                       0.23          58275.99
8                       0.47          58240.88
16                      0.93          58131.80
32                      1.86          58198.77
64                      3.72          58164.09
128                     7.42          57962.03
256                    11.03          43086.08
512                    21.78          42544.82
1024                   43.60          42580.42
2048                   69.20          33787.65
4096                  136.51          33327.44
8192                  272.02          33205.10
16384                 537.77          32822.99
32768                 998.51          30471.96
65536                 796.57          12154.75
131072               1462.26          11156.14
262144               1997.79           7620.96
524288               2221.10           4236.42
1048576              2372.84           2262.92
2097152              2528.36           1205.61
4194304              2570.57            612.87
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58510.85
2                       0.12          58575.48
4                       0.23          58554.97
8                       0.47          58524.87
16                      0.94          58476.54
32                      1.87          58477.83
64                      3.74          58366.96
128                     7.47          58332.90
256                    11.08          43286.53
512                    22.02          43001.44
1024                   43.91          42884.49
2048                   69.42          33896.22
4096                  137.38          33539.29
8192                  272.29          33237.99
16384                 537.94          32833.19
32768                1002.32          30588.29
65536                 802.97          12252.41
131072               1466.77          11190.55
262144               2007.89           7659.51
524288               2234.41           4261.80
1048576              2379.82           2269.57
2097152              2537.07           1209.77
4194304              2576.34            614.25
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58578.57
2                       0.12          58691.03
4                       0.23          58666.33
8                       0.47          58661.81
16                      0.94          58625.16
32                      1.88          58674.93
64                      3.75          58592.75
128                     7.50          58592.71
256                    11.08          43289.53
512                    21.98          42938.87
1024                   43.91          42880.00
2048                   69.60          33985.34
4096                  138.01          33694.78
8192                  272.41          33253.17
16384                 539.58          32933.40
32768                1418.38          43285.47
65536                 803.14          12254.90
131072               1472.81          11236.64
262144               2009.98           7667.46
524288               2228.75           4251.00
1048576              2374.03           2264.05
2097152              2531.71           1207.21
4194304              2565.26            611.61
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58660.87
2                       0.12          58696.27
4                       0.23          58582.12
8                       0.47          58612.92
16                      0.94          58632.48
32                      1.87          58558.32
64                      3.75          58563.93
128                     7.48          58467.70
256                    11.09          43313.25
512                    21.93          42828.06
1024                   43.92          42892.27
2048                   69.61          33987.36
4096                  137.82          33647.88
8192                  272.41          33253.20
16384                 540.28          32976.17
32768                1419.20          43310.67
65536                 802.99          12252.63
131072               1469.23          11209.34
262144               2005.19           7649.20
524288               2240.23           4272.91
1048576              2376.69           2266.59
2097152              2529.08           1205.96
4194304              2581.91            615.58
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58800.65
2                       0.11          56083.47
4                       0.23          56788.12
8                       0.47          58882.69
16                      0.94          58766.49
32                      1.88          58685.84
64                      3.76          58764.93
128                     7.53          58807.16
256                    15.04          58766.42
512                    22.11          43183.24
1024                   44.27          43230.21
2048                   69.85          34108.61
4096                  138.40          33788.92
8192                  273.82          33424.75
16384                 542.26          33097.20
32768                1014.32          30954.59
65536                 805.20          12286.39
131072               1476.12          11261.87
262144               2002.63           7639.44
524288               2224.57           4243.02
1048576              2369.73           2259.95
2097152              2521.88           1202.52
4194304              2579.76            615.06
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58584.86
2                       0.12          58540.25
4                       0.23          58608.02
8                       0.47          58790.11
16                      0.94          58583.98
32                      1.88          58608.53
64                      3.74          58485.70
128                     7.47          58383.85
256                    14.95          58382.78
512                    21.86          42693.41
1024                   43.85          42823.64
2048                   69.38          33876.81
4096                  137.30          33520.41
8192                  272.17          33223.99
16384                 538.09          32842.70
32768                1419.09          43307.13
65536                 801.85          12235.19
131072               1467.74          11197.97
262144               2010.53           7669.58
524288               2226.92           4247.51
1048576              2375.83           2265.76
2097152              2529.95           1206.37
4194304              2582.45            615.70
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.07          67076.24
2                       0.12          59174.90
4                       0.24          59151.87
8                       0.47          58944.89
16                      0.95          59121.89
32                      1.89          59136.20
64                      3.78          59092.26
128                     7.56          59038.87
256                    11.16          43604.93
512                    22.17          43307.22
1024                   44.15          43117.88
2048                   70.04          34198.02
4096                  138.78          33882.95
8192                  273.76          33418.57
16384                 543.47          33170.81
32768                1417.09          43246.19
65536                 804.48          12275.41
131072               1475.98          11260.80
262144               1995.42           7611.91
524288               2230.81           4254.94
1048576              2373.50           2263.55
2097152              2524.45           1203.75
4194304              2579.95            615.11
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58560.01
2                       0.12          58574.19
4                       0.23          58635.27
8                       0.47          58505.59
16                      0.94          58550.26
32                      1.87          58534.03
64                      3.74          58405.42
128                     7.47          58391.97
256                    11.14          43504.03
512                    22.04          43056.15
1024                   43.95          42923.30
2048                   69.42          33897.27
4096                  137.66          33608.38
8192                  272.24          33231.90
16384                 577.76          35263.53
32768                1416.52          43228.81
65536                 803.98          12267.76
131072               1474.73          11251.31
262144               1988.56           7585.77
524288               2223.54           4241.07
1048576              2373.17           2263.23
2097152              2521.22           1202.21
4194304              2579.04            614.89
Warning: Permanently added '[osu-mbwmr-single-node-worker-0.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-mbwmr-single-node-worker-1.osu-mbwmr-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       0.06          58070.92
