Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      32.96
2                      32.95
4                      32.93
8                      32.94
16                     32.97
32                     32.95
64                     33.00
128                    32.98
256                    33.02
512                    24.55
1024                   24.63
2048                   24.89
4096                   27.04
8192                   28.11
16384                  38.05
32768                  47.87
65536                 150.77
131072                171.16
262144                235.30
524288                305.31
1048576               498.84
2097152               891.90
4194304              1899.92
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.18
2                      33.14
4                      33.23
8                      33.21
16                     33.20
32                     33.23
64                     33.22
128                    33.17
256                    33.24
512                    24.62
1024                   24.70
2048                   24.95
4096                   27.14
8192                   27.69
16384                  38.00
32768                  47.39
65536                 151.49
131072                169.08
262144                235.94
524288                308.12
1048576               498.97
2097152               894.86
4194304              1902.03
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.22
2                      33.47
4                      33.18
8                      33.24
16                     33.21
32                     33.22
64                     33.26
128                    33.25
256                    33.26
512                    24.66
1024                   24.58
2048                   25.04
4096                   27.06
8192                   27.66
16384                  37.71
32768                  48.03
65536                 149.28
131072                169.79
262144                235.92
524288                299.20
1048576               498.95
2097152               890.80
4194304              1897.88
Warning: Permanently added '[osu-multilatency-single-node-worker-1.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-multilatency-single-node-worker-0.osu-multilatency-single-node.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.09
2                      33.08
4                      33.07
8                      33.08
16                     33.11
32                     33.10
64                     33.12
128                    33.08
256                    33.12
512                    24.43
1024                   24.50
2048                   24.78
4096                   26.77
8192                   27.57
16384                  38.13
32768                  47.77
65536                 151.84
131072                170.88
262144                235.29
524288                304.79
1048576               498.73
