Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.15
2                       0.43
4                       0.97
8                       1.97
16                      3.88
32                      7.77
64                     15.70
128                    31.24
256                    62.29
512                   123.84
1024                  217.47
2048                  398.66
4096                  839.77
8192                 1428.30
16384                2174.78
32768                1766.38
65536                1041.04
131072               1127.85
262144               1450.38
524288               1777.59
1048576              1733.20
2097152              1738.54
4194304              1741.98
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.15
2                       0.44
4                       0.96
8                       1.95
16                      3.84
32                      7.72
64                     15.57
128                    31.04
256                    62.12
512                   103.94
1024                  205.76
2048                  378.56
4096                  704.13
8192                 1426.21
16384                2155.85
32768                2203.07
65536                1394.12
131072               1269.01
262144               1461.95
524288               1794.24
1048576              1834.14
2097152              1845.89
4194304              1857.39
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.16
2                       0.44
4                       0.97
8                       1.96
16                      3.86
32                      7.70
64                     15.53
128                    30.91
256                    61.92
512                   109.52
1024                  215.80
2048                  399.15
4096                  839.97
8192                 1401.52
16384                1710.13
32768                1379.39
65536                 932.34
131072               1154.47
262144               1471.18
524288               1803.73
1048576              1853.70
2097152              1869.39
4194304              1876.13
Warning: Permanently added '[osu-bibw-multinode-2-worker-1.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-multinode-2-worker-0.osu-bibw-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.15
2                       0.43
4                       0.96
8                       1.95
16                      3.87
32                      7.74
64                     15.59
128                    31.08
256                    61.56
512                   122.92
1024                  206.09
2048                  378.14
4096                  734.17
