Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.03
2                      38.16
4                      37.99
8                      38.01
16                     37.95
32                     38.06
64                     38.73
128                    38.79
256                    38.91
512                    39.17
1024                   41.10
2048                   79.78
4096                   74.85
8192                   80.70
16384                  86.53
32768                 121.85
65536                 280.56
131072                399.62
262144                603.36
524288                956.45
1048576              1735.23
2097152              3290.63
4194304              6454.13
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.23
2                      38.17
4                      38.11
8                      38.21
16                     38.21
32                     38.21
64                     39.09
128                    38.87
256                    39.00
512                    39.24
1024                   41.19
2048                   79.67
4096                   73.95
8192                   78.95
16384                  85.33
32768                 122.62
65536                 280.88
131072                397.31
262144                602.20
524288                962.48
1048576              1741.55
2097152              3302.90
4194304              6462.58
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.42
2                      38.41
4                      38.42
8                      38.48
16                     38.43
32                     38.42
64                     38.06
128                    39.07
256                    39.18
512                    39.33
1024                   41.23
2048                   79.07
4096                   73.53
8192                   76.72
16384                  84.10
32768                 121.83
65536                 277.12
131072                393.35
262144                597.82
524288                956.23
1048576              1740.47
2097152              3303.76
4194304              6465.07
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.25
2                      38.04
4                      33.98
8                      32.54
16                     32.50
32                     34.05
64                     33.71
128                    38.68
256                    35.75
512                    35.79
1024                   40.34
2048                   64.73
4096                   66.40
8192                   72.63
16384                  83.87
32768                 118.11
65536                 284.32
131072                383.42
262144                577.86
524288                951.10
1048576              1736.72
2097152              3286.12
4194304              6441.50
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.03
2                      38.07
4                      33.66
8                      31.97
16                     34.84
32                     34.46
64                     33.69
128                    33.86
256                    35.98
512                    39.15
1024                   40.48
2048                   79.61
4096                   73.86
8192                   78.92
16384                  85.81
32768                 124.35
65536                 280.56
131072                398.48
262144                603.30
524288                959.09
1048576              1742.10
2097152              3294.51
4194304              6473.21
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      31.67
2                      31.64
4                      31.60
8                      31.63
16                     31.63
32                     31.68
64                     32.17
128                    32.25
256                    32.34
512                    32.58
1024                   33.80
2048                   58.18
4096                   57.63
8192                   61.65
16384                  69.54
32768                  94.52
65536                 224.75
131072                292.27
262144                430.77
524288                698.56
1048576              1329.81
2097152              2470.47
4194304              4924.59
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
