Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              68.23
2              68.12
4              68.03
8              68.04
16             68.04
32             68.20
64             68.81
128            68.89
256            68.87
512            41.69
1024           42.18
2048           77.75
4096           77.58
8192           82.14
16384          91.88
32768         127.45
65536         300.22
131072        427.86
262144        649.68
524288       1063.59
1048576      1921.96
2097152      3461.30
4194304      6451.19
Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              67.78
2              67.83
4              67.82
8              67.84
16             67.85
32             67.99
64             68.72
128            68.63
256            68.84
512            41.45
1024           41.90
2048           77.87
4096           77.42
8192           81.88
16384          91.34
32768         125.39
65536         296.52
131072        425.76
262144        649.21
524288       1062.01
1048576      1917.99
2097152      3297.35
4194304      6447.47
Warning: Permanently added '[osu-latencymp-multinode-2-worker-1.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latencymp-multinode-2-worker-0.osu-latencymp-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2

# OSU MPI Multi-process Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1              68.12
2              68.06
4              68.00
8              67.98
16             67.98
32             68.05
64             68.88
128            68.89
256            68.83
512            41.53
1024           42.19
2048           79.20
4096           78.50
8192           82.43
16384          92.75
32768         127.50
65536         297.83
131072        426.18
262144        649.15
