Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     124.17
2                     116.93
4                     117.25
8                     116.96
16                    115.71
32                    113.86
64                    118.52
128                   118.55
256                   119.11
512                    83.96
1024                   82.38
2048                   86.64
4096                   77.31
8192                   82.81
16384                  95.61
32768                 127.16
65536                 297.85
131072                430.14
262144                657.79
524288               1067.36
1048576              1850.91
2097152              3299.05
4194304              6476.65
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.87
2                      67.79
4                      67.87
8                      67.81
16                     67.88
32                     68.33
64                     68.82
128                    68.88
256                    69.09
512                    41.48
1024                   42.06
2048                   81.62
4096                   82.63
8192                   82.44
16384                  92.16
32768                 127.10
65536                 299.71
131072                427.17
262144                649.30
524288                976.79
1048576              1755.47
2097152              3303.96
4194304              6467.65
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      67.41
2                      66.86
4                      66.53
8                      66.85
16                     67.49
32                     67.54
64                     68.11
128                    68.18
256                    67.33
512                    42.11
1024                   44.95
2048                   74.30
4096                   74.60
8192                   80.13
16384                  91.32
32768                 123.20
65536                 298.04
131072                427.83
262144                653.31
524288                934.76
1048576              1832.80
2097152              3477.04
4194304              6478.32
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      68.06
2                      66.54
4                      67.64
8                      68.15
16                     66.80
32                     68.24
64                     68.80
128                    68.91
256                    69.00
512                    42.31
1024                   43.02
2048                   74.86
4096                   76.69
8192                   81.47
16384                  91.79
32768                 124.85
65536                 298.85
131072                428.08
262144                653.88
524288               1020.93
1048576              1752.79
2097152              3318.51
4194304              6479.24
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      66.50
2                      67.03
4                      67.02
8                      66.84
16                     67.11
32                     67.23
64                     67.93
128                    67.24
256                    67.78
512                    41.92
1024                   42.46
2048                   74.37
4096                   76.68
8192                   81.03
16384                  91.65
32768                 117.29
65536                 287.42
131072                421.03
262144                651.72
524288                975.92
1048576              1747.10
2097152              3297.65
4194304              6434.93
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Multi Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      68.10
2                      68.14
4                      68.10
8                      67.96
16                     67.50
32                     67.87
64                     68.67
128                    68.64
256                    68.56
512                    41.56
1024                   43.26
2048                   74.90
4096                   76.64
8192                   81.76
16384                  91.66
32768                 124.31
65536                 298.17
131072                429.21
262144                652.03
524288               1037.32
