Size,Measure,CNI,Nodes,Benchmark
1,32.1,baremetal,2,multi-latency
2,34.82,baremetal,2,multi-latency
4,36.03,baremetal,2,multi-latency
8,35.19,baremetal,2,multi-latency
16,35.98,baremetal,2,multi-latency
32,36.24,baremetal,2,multi-latency
64,35.97,baremetal,2,multi-latency
128,33.52,baremetal,2,multi-latency
256,33.69,baremetal,2,multi-latency
512,35.91,baremetal,2,multi-latency
1024,35.8,baremetal,2,multi-latency
2048,43.0,baremetal,2,multi-latency
4096,43.98,baremetal,2,multi-latency
8192,45.85,baremetal,2,multi-latency
16384,51.0,baremetal,2,multi-latency
32768,72.39,baremetal,2,multi-latency
65536,103.33,baremetal,2,multi-latency
131072,145.3,baremetal,2,multi-latency
262144,193.97,baremetal,2,multi-latency
524288,314.11,baremetal,2,multi-latency
1048576,631.64,baremetal,2,multi-latency
2097152,1092.72,baremetal,2,multi-latency
4194304,2107.55,baremetal,2,multi-latency
1,33.14,baremetal,2,multi-latency
2,32.81,baremetal,2,multi-latency
4,31.82,baremetal,2,multi-latency
8,34.06,baremetal,2,multi-latency
16,34.29,baremetal,2,multi-latency
32,33.28,baremetal,2,multi-latency
64,33.81,baremetal,2,multi-latency
128,34.49,baremetal,2,multi-latency
256,35.98,baremetal,2,multi-latency
512,34.24,baremetal,2,multi-latency
1024,35.68,baremetal,2,multi-latency
2048,42.78,baremetal,2,multi-latency
4096,43.96,baremetal,2,multi-latency
8192,45.89,baremetal,2,multi-latency
16384,50.07,baremetal,2,multi-latency
32768,72.21,baremetal,2,multi-latency
65536,95.66,baremetal,2,multi-latency
131072,145.38,baremetal,2,multi-latency
262144,183.95,baremetal,2,multi-latency
524288,287.28,baremetal,2,multi-latency
1048576,467.14,baremetal,2,multi-latency
2097152,837.86,baremetal,2,multi-latency
4194304,1685.15,baremetal,2,multi-latency
1,32.35,baremetal,2,multi-latency
2,35.63,baremetal,2,multi-latency
4,35.7,baremetal,2,multi-latency
8,32.9,baremetal,2,multi-latency
16,34.43,baremetal,2,multi-latency
32,35.54,baremetal,2,multi-latency
64,35.15,baremetal,2,multi-latency
128,35.69,baremetal,2,multi-latency
256,35.83,baremetal,2,multi-latency
512,34.9,baremetal,2,multi-latency
1024,33.24,baremetal,2,multi-latency
2048,42.88,baremetal,2,multi-latency
4096,43.9,baremetal,2,multi-latency
8192,45.92,baremetal,2,multi-latency
16384,50.49,baremetal,2,multi-latency
32768,72.49,baremetal,2,multi-latency
65536,161.26,baremetal,2,multi-latency
131072,155.11,baremetal,2,multi-latency
262144,175.8,baremetal,2,multi-latency
524288,309.51,baremetal,2,multi-latency
1048576,596.79,baremetal,2,multi-latency
2097152,1113.76,baremetal,2,multi-latency
4194304,2088.13,baremetal,2,multi-latency
1,32.72,baremetal,2,multi-latency
2,31.41,baremetal,2,multi-latency
4,35.16,baremetal,2,multi-latency
8,35.93,baremetal,2,multi-latency
16,35.98,baremetal,2,multi-latency
32,34.81,baremetal,2,multi-latency
64,36.27,baremetal,2,multi-latency
128,33.7,baremetal,2,multi-latency
256,34.64,baremetal,2,multi-latency
512,35.11,baremetal,2,multi-latency
1024,34.48,baremetal,2,multi-latency
2048,43.09,baremetal,2,multi-latency
4096,43.44,baremetal,2,multi-latency
8192,44.43,baremetal,2,multi-latency
16384,49.05,baremetal,2,multi-latency
32768,73.53,baremetal,2,multi-latency
65536,103.66,baremetal,2,multi-latency
131072,145.16,baremetal,2,multi-latency
262144,177.48,baremetal,2,multi-latency
524288,348.36,baremetal,2,multi-latency
1048576,599.15,baremetal,2,multi-latency
2097152,1107.2,baremetal,2,multi-latency
4194304,1980.92,baremetal,2,multi-latency
1,34.02,baremetal,2,multi-latency
2,28.24,baremetal,2,multi-latency
4,30.31,baremetal,2,multi-latency
8,32.73,baremetal,2,multi-latency
16,24.24,baremetal,2,multi-latency
32,30.57,baremetal,2,multi-latency
64,36.22,baremetal,2,multi-latency
128,33.39,baremetal,2,multi-latency
256,32.53,baremetal,2,multi-latency
512,32.66,baremetal,2,multi-latency
1024,34.9,baremetal,2,multi-latency
2048,42.88,baremetal,2,multi-latency
4096,43.03,baremetal,2,multi-latency
8192,44.57,baremetal,2,multi-latency
16384,50.56,baremetal,2,multi-latency
32768,73.15,baremetal,2,multi-latency
65536,105.85,baremetal,2,multi-latency
131072,145.13,baremetal,2,multi-latency
262144,183.33,baremetal,2,multi-latency
524288,285.01,baremetal,2,multi-latency
1048576,598.1,baremetal,2,multi-latency
2097152,1139.34,baremetal,2,multi-latency
4194304,2094.58,baremetal,2,multi-latency
1,33.18,baremetal,2,multi-latency
2,32.35,baremetal,2,multi-latency
4,32.16,baremetal,2,multi-latency
8,32.15,baremetal,2,multi-latency
16,33.06,baremetal,2,multi-latency
32,26.52,baremetal,2,multi-latency
64,34.17,baremetal,2,multi-latency
128,33.13,baremetal,2,multi-latency
256,32.59,baremetal,2,multi-latency
512,35.13,baremetal,2,multi-latency
1024,34.61,baremetal,2,multi-latency
2048,43.06,baremetal,2,multi-latency
4096,43.44,baremetal,2,multi-latency
8192,44.57,baremetal,2,multi-latency
16384,49.96,baremetal,2,multi-latency
32768,75.62,baremetal,2,multi-latency
65536,100.93,baremetal,2,multi-latency
131072,145.33,baremetal,2,multi-latency
262144,224.12,baremetal,2,multi-latency
524288,305.33,baremetal,2,multi-latency
1048576,606.98,baremetal,2,multi-latency
2097152,1137.48,baremetal,2,multi-latency
4194304,2138.52,baremetal,2,multi-latency
1,21.94,baremetal,2,multi-latency
2,21.9,baremetal,2,multi-latency
4,21.89,baremetal,2,multi-latency
8,21.91,baremetal,2,multi-latency
16,21.84,baremetal,2,multi-latency
32,21.99,baremetal,2,multi-latency
64,22.05,baremetal,2,multi-latency
128,22.39,baremetal,2,multi-latency
256,22.58,baremetal,2,multi-latency
512,22.69,baremetal,2,multi-latency
1024,23.84,baremetal,2,multi-latency
2048,38.59,baremetal,2,multi-latency
4096,38.99,baremetal,2,multi-latency
8192,40.31,baremetal,2,multi-latency
16384,54.2,baremetal,2,multi-latency
32768,73.41,baremetal,2,multi-latency
65536,106.64,baremetal,2,multi-latency
131072,150.91,baremetal,2,multi-latency
262144,182.46,baremetal,2,multi-latency
524288,285.33,baremetal,2,multi-latency
1048576,613.16,baremetal,2,multi-latency
2097152,1121.0,baremetal,2,multi-latency
4194304,2069.08,baremetal,2,multi-latency
1,21.54,baremetal,2,multi-latency
2,21.65,baremetal,2,multi-latency
4,21.48,baremetal,2,multi-latency
8,21.52,baremetal,2,multi-latency
16,21.39,baremetal,2,multi-latency
32,21.53,baremetal,2,multi-latency
64,21.62,baremetal,2,multi-latency
128,21.96,baremetal,2,multi-latency
256,22.04,baremetal,2,multi-latency
512,22.36,baremetal,2,multi-latency
1024,23.38,baremetal,2,multi-latency
2048,38.98,baremetal,2,multi-latency
4096,39.61,baremetal,2,multi-latency
8192,40.78,baremetal,2,multi-latency
16384,51.45,baremetal,2,multi-latency
32768,73.35,baremetal,2,multi-latency
65536,101.42,baremetal,2,multi-latency
131072,162.83,baremetal,2,multi-latency
262144,176.87,baremetal,2,multi-latency
524288,287.1,baremetal,2,multi-latency
1048576,618.31,baremetal,2,multi-latency
2097152,1145.54,baremetal,2,multi-latency
4194304,2086.13,baremetal,2,multi-latency
1,32.68,baremetal,2,multi-latency
2,33.48,baremetal,2,multi-latency
4,35.53,baremetal,2,multi-latency
8,34.35,baremetal,2,multi-latency
16,33.91,baremetal,2,multi-latency
32,32.25,baremetal,2,multi-latency
64,33.99,baremetal,2,multi-latency
128,30.11,baremetal,2,multi-latency
256,34.88,baremetal,2,multi-latency
512,33.39,baremetal,2,multi-latency
1024,34.42,baremetal,2,multi-latency
2048,42.98,baremetal,2,multi-latency
4096,43.07,baremetal,2,multi-latency
8192,44.6,baremetal,2,multi-latency
16384,50.15,baremetal,2,multi-latency
32768,75.51,baremetal,2,multi-latency
65536,121.52,baremetal,2,multi-latency
131072,151.8,baremetal,2,multi-latency
262144,193.12,baremetal,2,multi-latency
524288,285.66,baremetal,2,multi-latency
1048576,612.15,baremetal,2,multi-latency
2097152,1128.65,baremetal,2,multi-latency
4194304,2044.17,baremetal,2,multi-latency
1,34.24,baremetal,2,multi-latency
2,33.74,baremetal,2,multi-latency
4,34.06,baremetal,2,multi-latency
8,34.62,baremetal,2,multi-latency
16,33.25,baremetal,2,multi-latency
32,34.97,baremetal,2,multi-latency
64,35.69,baremetal,2,multi-latency
128,34.69,baremetal,2,multi-latency
256,33.76,baremetal,2,multi-latency
512,35.16,baremetal,2,multi-latency
1024,33.51,baremetal,2,multi-latency
2048,43.02,baremetal,2,multi-latency
4096,43.11,baremetal,2,multi-latency
8192,44.39,baremetal,2,multi-latency
16384,48.98,baremetal,2,multi-latency
32768,73.07,baremetal,2,multi-latency
65536,119.01,baremetal,2,multi-latency
131072,145.21,baremetal,2,multi-latency
262144,179.31,baremetal,2,multi-latency
524288,286.54,baremetal,2,multi-latency
1048576,590.62,baremetal,2,multi-latency
2097152,1103.36,baremetal,2,multi-latency
4194304,2057.9,baremetal,2,multi-latency
1,33.64,baremetal,2,multi-latency
2,33.4,baremetal,2,multi-latency
4,34.63,baremetal,2,multi-latency
8,32.52,baremetal,2,multi-latency
16,32.44,baremetal,2,multi-latency
32,33.72,baremetal,2,multi-latency
64,32.96,baremetal,2,multi-latency
128,33.87,baremetal,2,multi-latency
256,33.06,baremetal,2,multi-latency
512,35.92,baremetal,2,multi-latency
1024,33.58,baremetal,2,multi-latency
2048,42.84,baremetal,2,multi-latency
4096,42.9,baremetal,2,multi-latency
8192,44.5,baremetal,2,multi-latency
16384,49.54,baremetal,2,multi-latency
32768,72.56,baremetal,2,multi-latency
65536,99.62,baremetal,2,multi-latency
131072,157.48,baremetal,2,multi-latency
262144,221.64,baremetal,2,multi-latency
524288,295.15,baremetal,2,multi-latency
1048576,546.72,baremetal,2,multi-latency
2097152,1148.97,baremetal,2,multi-latency
4194304,1981.42,baremetal,2,multi-latency
1,21.47,baremetal,2,multi-latency
2,21.44,baremetal,2,multi-latency
4,21.36,baremetal,2,multi-latency
8,21.45,baremetal,2,multi-latency
16,21.36,baremetal,2,multi-latency
32,21.43,baremetal,2,multi-latency
64,21.52,baremetal,2,multi-latency
128,21.89,baremetal,2,multi-latency
256,22.04,baremetal,2,multi-latency
512,22.25,baremetal,2,multi-latency
1024,23.27,baremetal,2,multi-latency
