Size,CNI,Nodes,Benchmark,Mean,Median,Std,Min,Max
1,baremetal,1,bibw,9.684666666666667,9.575,0.5232045379254151,8.55,11.2
1,baremetal,1,bw,8.700333333333333,8.73,0.18306741425201714,8.21,8.95
1,baremetal,1,latency,0.4373333333333333,0.43999999999999995,0.05165758170033162,0.38,0.51
1,baremetal,1,latency_mp,0.5086666666666667,0.54,0.04658942704781504,0.44,0.58
1,baremetal,1,mbw_mr,8.594333333333333,8.614999999999998,0.11000574697631056,8.16,8.74
1,baremetal,1,multi-latency,0.49899999999999994,0.47,0.04801939263428386,0.45,0.58
1,baremetal,2,bibw,0.8233333333333334,0.83,0.022180036586726026,0.77,0.87
1,baremetal,2,bw,0.3973333333333333,0.41,0.032263284709246276,0.33,0.43
1,baremetal,2,latency,20.538666666666664,20.535,0.15406521980649301,20.3,21.03
1,baremetal,2,latency_mp,32.74633333333333,32.54,2.73309788024295,21.17,35.92
1,baremetal,2,mbw_mr,0.361,0.36,0.026175798245576077,0.3,0.39
1,baremetal,2,multi-latency,31.055999999999997,32.769999999999996,4.549193638285877,21.08,35.7
1,calico,1,bibw,0.11,0.11,0.0,0.11,0.11
1,calico,1,bw,0.05,0.05,0.0,0.05,0.05
1,calico,1,latency,27.121,27.095,0.14650762013841032,26.91,27.73
1,calico,1,latency_mp,35.30133333333333,35.305,0.10338189441074287,35.09,35.47
1,calico,1,mbw_mr,0.05,0.05,0.0,0.05,0.05
1,calico,1,multi-latency,38.48800000000001,39.345,1.859794946057041,34.6,39.94
1,calico,2,bibw,0.14266666666666666,0.15,0.025587353197979675,0.1,0.19
1,calico,2,bw,0.067,0.07,0.01417866293973521,0.05,0.09
1,calico,2,latency,38.083,39.035,2.521161678055686,29.54,39.41
1,calico,2,latency_mp,67.14566666666667,67.11,0.32234788803332004,66.5,67.69
1,calico,2,mbw_mr,0.068,0.07,0.011264836959500922,0.05,0.09
1,calico,2,multi-latency,67.63033333333334,67.505,0.8036231889916173,65.03,68.62
1,cilium,1,bibw,0.19,0.19,0.0,0.19,0.19
1,cilium,1,bw,0.09433333333333334,0.09,0.005040069329937314,0.09,0.1
1,cilium,1,latency,17.093,17.04,0.15218296610466545,16.89,17.47
1,cilium,1,latency_mp,21.07633333333333,21.095,0.08996103882096457,20.85,21.19
1,cilium,1,mbw_mr,0.08466666666666667,0.08,0.008193072487266861,0.08,0.1
1,cilium,1,multi-latency,23.890333333333334,24.03,0.5972493462610036,20.79,24.17
1,cilium,2,bibw,0.6296666666666667,0.65,0.05294651389216606,0.52,0.72
1,cilium,2,bw,0.272,0.29,0.03854240834949615,0.22,0.33
1,cilium,2,latency,36.861666666666665,38.09,2.653784653755039,30.53,39.4
1,cilium,2,latency_mp,44.373000000000005,45.025,3.4688795269386037,38.67,53.68
1,cilium,2,mbw_mr,0.2653333333333333,0.26,0.02080008841714188,0.23,0.31
1,cilium,2,multi-latency,45.0,44.83,4.035544658364614,38.4,59.36
1,flannel,1,bibw,0.13466666666666666,0.13,0.005074162634049248,0.13,0.14
1,flannel,1,bw,0.06966666666666668,0.07,0.0018257418583505556,0.06,0.07
1,flannel,1,latency,22.98166666666667,22.994999999999997,0.10419091671751801,22.69,23.18
1,flannel,1,latency_mp,29.233999999999998,29.2,0.11961432274981318,29.01,29.57
1,flannel,1,mbw_mr,0.06066666666666666,0.06,0.0025370813170246262,0.06,0.07
1,flannel,1,multi-latency,32.94533333333333,33.06,0.7333613369783778,29.1,33.26
1,flannel,2,bibw,0.15533333333333335,0.15,0.023596220231117578,0.13,0.24
1,flannel,2,bw,0.07466666666666667,0.07,0.011366415543118706,0.07,0.11
1,flannel,2,latency,37.31033333333333,38.120000000000005,2.217042894353264,31.61,39.1
1,flannel,2,latency_mp,70.38766666666668,67.76,20.941656503878498,46.24,178.89
1,flannel,2,mbw_mr,0.07600000000000001,0.07,0.011626367179523592,0.07,0.1
1,flannel,2,multi-latency,73.09433333333332,67.67500000000001,23.54501275009846,57.64,184.55
2,baremetal,1,bibw,19.923000000000002,20.105,1.1698722299818736,17.08,22.92
2,baremetal,1,bw,17.663333333333334,17.655,0.23632726189046288,17.3,18.07
2,baremetal,1,latency,0.4393333333333333,0.44499999999999995,0.05362277779871697,0.38,0.51
2,baremetal,1,latency_mp,0.5016666666666667,0.53,0.04549219965977749,0.43,0.57
2,baremetal,1,mbw_mr,16.863333333333333,17.165,0.7710240987929889,14.83,17.35
2,baremetal,1,multi-latency,0.49966666666666665,0.475,0.047378398492120444,0.45,0.58
2,baremetal,2,bibw,1.6553333333333333,1.66,0.04240472756120745,1.53,1.74
2,baremetal,2,bw,0.8126666666666666,0.84,0.0675652090299761,0.65,0.87
2,baremetal,2,latency,20.627333333333333,20.6,0.1385126244298221,20.47,21.09
2,baremetal,2,latency_mp,32.003,31.96,2.519399422139305,21.03,35.09
2,baremetal,2,mbw_mr,0.6986666666666667,0.69,0.058352870291566356,0.6,0.78
2,baremetal,2,multi-latency,30.918333333333333,32.49,5.010608802801576,20.0,36.3
2,calico,1,bibw,0.21933333333333332,0.22,0.00365148371670111,0.2,0.22
2,calico,1,bw,0.11,0.11,0.0,0.11,0.11
2,calico,1,latency,27.084666666666667,27.07,0.10142887208262784,26.9,27.33
2,calico,1,latency_mp,35.425666666666665,35.425,0.15366069502446952,35.15,35.92
2,calico,1,mbw_mr,0.09266666666666666,0.09,0.006914918072835212,0.09,0.11
2,calico,1,multi-latency,38.48233333333334,39.370000000000005,1.85571565028499,34.65,39.62
2,calico,2,bibw,0.37099999999999994,0.37,0.008448627719625703,0.35,0.38
2,calico,2,bw,0.156,0.17,0.026076809620810597,0.1,0.18
2,calico,2,latency,37.22533333333333,38.78,3.166432489828843,30.59,39.26
2,calico,2,latency_mp,67.11166666666666,67.005,0.5162068773562437,66.05,67.72
2,calico,2,mbw_mr,0.152,0.15,0.014715696522350923,0.11,0.18
2,calico,2,multi-latency,67.6,67.56,0.6647633750648352,66.21,68.51
2,cilium,1,bibw,0.3796666666666667,0.38,0.004901325178535605,0.37,0.39
2,cilium,1,bw,0.18866666666666668,0.19,0.003457459036417607,0.18,0.19
2,cilium,1,latency,17.073333333333334,17.035,0.1471882054245257,16.84,17.43
2,cilium,1,latency_mp,21.069333333333336,21.1,0.09864367548223117,20.81,21.18
2,cilium,1,mbw_mr,0.1726666666666667,0.17,0.006914918072835206,0.17,0.19
2,cilium,1,multi-latency,23.892,24.03,0.6087431936884959,20.72,24.17
2,cilium,2,bibw,1.2736666666666667,1.295,0.09072441534796402,1.11,1.45
2,cilium,2,bw,0.5696666666666667,0.57,0.060769963845201766,0.47,0.65
2,cilium,2,latency,36.54066666666667,38.05,2.8415160272877813,29.87,39.33
